"","beta0.1","beta0.2","beta0.3"
"390",5.1236617073777,4.94865382419811,4.9764969744679
"391",5.08020078312292,4.98554398729651,5.16630003701409
"392",4.72394883279815,5.05663425588076,5.14227487657057
"393",5.11990867501153,4.97761444706653,4.97118112416876
"394",5.21851009461049,5.01109088664139,4.94287257238277
"395",4.89785172486285,5.12230162798984,5.06305111687406
"396",5.05938759849507,5.13053658749591,5.12698488990885
"397",4.99611460314091,5.15646219403129,5.19444314898124
"398",5.02378617591418,4.86018175870122,5.0274681260018
"399",4.88944110300745,4.93560683021573,5.06766151957072
"400",4.88232492722786,4.9580249511545,4.99609714684274
"401",5.14884446403904,4.9280827084637,5.16161686775267
"402",5.00673285196443,4.78175947217071,5.12690425492128
"403",4.99335467214355,4.93229115920235,5.09193872357848
"404",5.05657841292341,4.91140841224236,5.08743753810463
"405",5.00299236529816,5.04321925959783,5.09712720801561
"406",5.13870501564474,4.79214300117085,5.20202729303924
"407",5.04551779955826,4.90355110158567,5.09624724448587
"408",5.01604976857084,4.92777416430909,5.00999211930421
"409",5.00845331944061,5.10484093172807,5.1621904667004
"410",4.95586976269202,4.86228527294518,5.04852213866421
"411",4.97615466003449,4.91569932943469,5.03420997721546
"412",5.03298474303101,4.96181684141998,5.11262933520034
"413",4.99105294444544,4.9253048093432,5.1509445223414
"414",4.93454590110428,4.94776221276896,5.15377508577593
"415",4.72260538721112,4.90381902166361,5.03310301150842
"416",4.88743000244406,4.98697415670956,5.22556694592585
"417",4.95210921963638,5.04941605352245,4.96743634343102
"418",5.21137824408529,5.00140414113419,5.01016637243659
"419",5.00306326908047,4.83683267846666,5.03841282250169
"420",4.89784348382284,4.91242915914898,5.08321055671583
"421",4.91913332451217,4.93057187510786,5.10738982142972
"422",5.21234892554337,4.97201774160043,5.08192258931793
"423",5.00510997586915,5.06272199465366,5.00428731099747
"424",4.892658943344,4.99566926488694,5.04880118622475
"425",4.90832133074932,4.87543186526124,5.08232889739034
"426",5.13097002173825,4.9596723676882,4.92663917913368
"427",5.08346592805133,4.91999324975464,4.90550144608848
"428",5.01662254088436,5.06536401414613,4.98091876586191
"429",4.74691459063555,4.89567891755988,5.06575030624676
"430",5.08290514892385,5.14237103269018,5.1540486090972
"431",4.88551498421884,5.0704943192845,5.09483695904436
"432",5.00166343434526,4.99505797277053,5.11475422629277
"433",5.01399913805842,4.81619439227998,5.02771541299068
"434",4.99662122828349,4.85834944360978,4.96775220855915
"435",4.99088273743567,4.88805277264022,5.06482067569332
"436",5.00924435417806,5.10266429297962,5.05155092768542
"437",4.99611460314091,5.15646219403129,5.19444314898124
"438",4.79164135458491,4.9858614735311,5.01629611033743
"439",4.7776757979261,5.11966664783483,5.12458939469114
"440",5.04883867542228,5.0061389773184,5.16860087393248
"441",4.91903671849334,4.9479363845686,5.18200812150612
"442",4.78431897650871,4.96417661180054,5.20024254612578
"443",4.87648933699256,4.94012726458222,5.00958404760064
"444",5.24642176501355,4.9205545165316,5.23012329018011
"445",4.9223024398037,4.82830250744988,5.03920309371443
"446",4.83926269958623,4.86552926059044,4.97957173590788
"447",4.88110635705636,4.98538859501096,5.02594087063069
"448",5.00166343434526,4.99505797277053,5.11475422629277
"449",5.21657900372468,4.98329549815289,5.00181372157846
"450",4.99991512142974,5.01027662777848,5.18857963720084
"451",5.06333662165116,5.02850253969929,5.10004085901439
"452",5.00013995117926,4.9343714858258,5.15313057642386
"453",4.72260538721112,4.90381902166361,5.03310301150842
"454",4.91087991406608,4.90859825860817,5.01048550850086
"455",5.10065482803403,5.02576491315296,4.99896334846113
"456",4.85960450760636,5.22514143040866,5.14460545706545
"457",5.08346592805133,4.91999324975464,4.90550144608848
"458",4.73879389934457,5.05003280920306,5.06147016483496
"459",4.84547151061379,4.92649442606713,5.09738412520213
"460",5.01213892563114,4.99121908842334,5.18879991525072
"461",4.90804968175913,5.02016357060638,5.06018871716358
"462",5.04810276746451,4.77290027088565,4.95976247141952
"463",5.00428226684187,4.91539006174985,5.0201637495608
"464",5.19874483065822,4.99303005649878,5.12456470992026
"465",5.08346592805133,4.91999324975464,4.90550144608848
"466",5.03026262818332,4.95950334133327,5.07154483313104
"467",4.98743194365683,5.0347603411417,5.11175264061666
"468",5.15187717625076,5.03861560208058,5.06002936005868
"469",5.0837373984502,4.89498261358168,5.05827565618164
"470",4.95640881914284,5.16377712055654,5.08329265238828
"471",4.93951198489672,4.93681425495585,5.1217631904935
"472",5.0023662868558,5.16261807575009,5.23319047842712
"473",4.8379521672869,4.89947036825603,5.07595153792932
"474",5.32982378020525,4.99971293879857,5.02367138669947
"475",4.94424563100897,5.04204533132618,5.06328893474399
"476",5.0721063691315,5.1183795915055,5.09982639174578
"477",4.88743000244406,4.98697415670956,5.22556694592585
"478",4.86996854452122,4.7746906725152,5.22355457230904
"479",4.79164135458491,4.9858614735311,5.01629611033743
"480",5.12065622168295,4.92323846966983,5.11673958137194
"481",4.96210361077824,5.0451926579339,4.98571967089757
"482",5.00924435417806,5.10266429297962,5.05155092768542
"483",4.95619045242318,4.94810088068969,5.15128473409382
"484",5.08174794725657,5.04614536181888,5.06743230175508
"485",4.99952753956492,5.0972616630528,4.99357020948515
"486",5.08346592805133,4.91999324975464,4.90550144608848
"487",5.04198919526641,4.89074950951146,4.96297094252733
"488",5.14884446403904,4.9280827084637,5.16161686775267
"489",4.94831345231469,5.02395506262756,5.13866942997372
"490",5.13689117295162,4.97050187165375,5.05402512528974
"491",4.86836001415068,4.94425747974366,5.11289634793477
"492",4.90875229236031,4.99929292753007,5.12628405692123
"493",5.12757370397258,4.92116261180573,5.05699506598883
"494",5.03179942008071,4.83615134045052,5.00433940265196
"495",5.10463448027043,5.06198031500426,4.9391919177717
"496",4.89196165148627,5.05446419337733,5.07718856602402
"497",5.21137824408529,5.00140414113419,5.01016637243659
"498",5.08444500302412,4.96818809806278,5.07971727940997
"499",5.05938759849507,5.13053658749591,5.12698488990885
"500",5.12361042083641,5.00208466994843,5.1118740623759
"501",4.85353166971802,4.77244621619773,5.19913898085843
"502",4.99662122828349,4.85834944360978,4.96775220855915
"503",4.96272197768034,5.00828056597712,5.13707118381529
"504",4.96868402994889,4.91032689399216,5.11227869811419
"505",5.12620413138592,4.92636043010836,5.0918492232417
"506",4.81347195324813,4.80578086732514,5.15897090458266
"507",5.04400938481237,4.79702010760621,5.06638736039514
"508",4.96888948874153,5.00424301926572,4.96009044250088
"509",5.13558176389643,4.9441825286732,5.09517596125685
"510",5.0925901046165,5.12797240254657,5.023909544151
"511",5.09090334244859,5.00396391906704,5.1250192183589
"512",5.04805130185512,4.93680653687983,5.24749407121033
"513",5.07305978137904,5.0281212005687,5.1462736599292
"514",4.97594737397119,4.98027352751156,5.30027578169206
"515",5.15930452083276,5.01479325261935,4.97670287166149
"516",5.11430336266899,5.16365222417657,5.08404631120641
