"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","logsize","ant_t","ant_t1","flower1_YN"
"51","T2","AD23",0,2004,170,122,122,11,28,29,1,"11","L",2005,0,0,1,145,137,98,14,9,9,0,"16","liom","",NA,NA,"","",11,16,662425.754960432,524097.830681291,NA,"liom","liom",TRUE
"52","T2","AD24",0,2004,140,79,79,7,10,10,0,"33","L",2005,0,0,1,153,93,54,11,7,7,0,"27","liom","",NA,NA,"","",33,27,228744.597095629,216388.778638907,NA,"liom","liom",TRUE
"53","T2","AD28",0,2004,90,57,57,8,1,1,0,"4","C",2005,0,0,1,117,60,53,9,15,17,2,"50","crem","",NA,NA,"","",4,50,76552.7589863493,97780.3041971147,NA,"crem","crem",TRUE
"54","T2","AD29",0,2004,99,77,77,7,11,11,0,"0","vacant",2005,0,0,1,95,90,47,12,3,4,1,"9","liom","",NA,NA,"","",0,9,153668.648455855,116700.676853053,NA,"vacant","liom",TRUE
"55","T2","AD3",0,2004,113,55,55,4,12,12,0,"32","L",2005,0,0,1,116,49,42,3,1,1,0,"16","liom","",NA,NA,"","",32,16,89489.5757344442,62870.8611805779,NA,"liom","liom",TRUE
"56","T2","AD30",0,2004,114,70,70,18,10,11,1,"0","vacant",2005,0,0,1,124,72,42,8,12,13,1,"21","liom","",NA,NA,"","",0,21,146241.138024605,105472.69015897,NA,"vacant","liom",TRUE
"57","T2","AD4",0,2004,717,112,112,25,8,18,10,"0","vacant",2005,0,0,1,171,99,69,24,16,25,9,"23","crem","",NA,NA,"","",0,23,2354636.26023616,315880.858133146,NA,"vacant","crem",TRUE
"58","T2","AD6",0,2004,66,93,93,10,13,13,0,"50","L",2005,0,0,1,78,58,54,12,4,6,2,"38","liom","",NA,NA,"","",50,38,149443.99173494,64038.2246507743,NA,"liom","liom",TRUE
"59","T2","AD7",0,2004,170,85,85,10,10,11,1,"11","L",2005,0,0,1,173,93,55,27,8,11,3,"18","liom","",NA,NA,"","",11,18,321555.098064305,248015.126432749,NA,"liom","liom",TRUE
"60","T2","AD9",0,2004,85,64,64,3,13,13,0,"0","vacant",2005,0,0,1,86,73,36,5,4,4,0,"13","liom","",NA,NA,"","",0,13,91148.0748561519,66874.4283184964,NA,"vacant","liom",TRUE
"61","T2","LJ10",0,2004,67,49,49,2,0,0,0,"0","vacant",2005,0,0,1,72,36,21,1,0,0,0,"0","vacant","",NA,NA,"","",0,0,42114.8821170858,15310.5517972699,NA,"vacant","vacant",FALSE
"62","T2","LJ11",0,2004,57,19,19,3,0,0,0,"19","C",2005,0,0,1,70,32,18,2,0,0,0,"2","liom","",NA,NA,"","",19,2,5387.0460027431,11453.7232162128,NA,"crem","liom",FALSE
"63","T2","LJ12",0,2004,57,63,63,8,0,0,0,"0","vacant",2005,0,0,1,68,48,28,3,0,0,0,"4","lg unk","",NA,NA,"","",0,4,59227.660899965,25706.6054867741,NA,"vacant","other",FALSE
"64","T2","LJ14",0,2004,62,48,48,8,0,0,0,"0","vacant",2005,0,0,1,57,59,33,8,0,0,0,"1","liom","",NA,NA,"","",0,1,37397.5189483329,31576.147761231,NA,"vacant","liom",FALSE
"65","T2","LJ17",0,2004,57,56,56,14,0,0,0,"6","L",2005,0,0,1,74,60,45,11,0,0,0,"27","crem","",NA,NA,"","",6,27,46797.1641678736,53397.257633984,NA,"liom","crem",FALSE
"66","T2","LJ2",0,2004,52,43,43,9,0,0,0,"27","",2005,0,0,1,60,44,33,5,0,0,0,"53","liom","",NA,NA,"","",27,53,25171.4875381126,23283.1285539174,NA,NA,"liom",FALSE
"67","T2","LJ5",0,2004,60,65,65,11,0,0,0,"11","C",2005,0,0,1,75,62,50,13,0,1,1,"0","vacant","",NA,NA,"","",11,0,66366.1448070844,61575.2160103599,NA,"crem","vacant",TRUE
"68","T2","LJ6",0,2004,58,64,64,17,0,0,0,"0","vacant",2005,0,0,1,68,70,56,11,7,7,0,"0","vacant","",NA,NA,"","",0,0,62195.1569606683,70657.560371888,NA,"vacant","vacant",TRUE
"69","T2","LJ7",0,2004,124,104,104,9,0,3,3,"38","L",2005,0,0,1,140,87,74,12,7,7,0,"18","liom","",NA,NA,"","",38,18,351121.150126014,237513.567589961,NA,"liom","liom",TRUE
"70","T2","LJ9",0,2004,54,53,53,7,0,0,0,"0","vacant",2005,0,0,1,56,41,22,6,0,0,0,"0","vacant","",NA,NA,"","",0,0,39711.3019377018,14547.1447824475,NA,"vacant","vacant",FALSE
"71","T2","SJ1",0,2004,38,24,24,5,0,0,0,"0","vacant",2005,0,0,1,30,26,12,1,0,0,0,"0","vacant","",NA,NA,"","",0,0,5730.26500014778,2835.28736986479,NA,"vacant","vacant",FALSE
"72","T2","SJ10",0,2004,15,12,12,3,0,0,0,"0","vacant",2005,0,0,1,20,14,7,4,0,0,0,"0","vacant","",NA,NA,"","",0,0,565.486677646163,577.267650097124,1,"vacant","vacant",FALSE
