"","beta0","beta1"
"149",-1.38112947241411,0.00742166744722738
"150",-1.35888489583776,0.00759004516019155
"151",-1.35667684062568,0.00725798218057716
"152",-1.36409706052978,0.00810872812943296
"153",-1.36645971968291,0.00657504545034785
"154",-1.37071000786267,0.00677608950825696
"155",-1.37745261514743,0.008226638446497
"156",-1.37486336409406,0.00672132527538049
"157",-1.37501500679286,0.00774115526186817
"158",-1.38618916873012,0.00743996002720844
"159",-1.38378705187935,0.00666842864344983
"160",-1.36409706052978,0.00810872812943296
"161",-1.38112174513513,0.00719237256392
"162",-1.37831413076088,0.00689848629443797
"163",-1.43948859686876,0.00679167846636108
"164",-1.38980775232452,0.00825674561769319
"165",-1.39080215320818,0.00616921810263816
"166",-1.38423562841159,0.00831385424480622
"167",-1.39749399230256,0.00717422348182021
"168",-1.42141313856633,0.00679241283485839
"169",-1.3918775804257,0.00630662960221024
"170",-1.37977944728974,0.00717925688167161
"171",-1.37625363779235,0.00593712702174078
"172",-1.39052283244555,0.00740465204282363
"173",-1.39052283244555,0.00740465204282363
"174",-1.36130656331628,0.00753419115531997
"175",-1.43957987505244,0.00682691061780591
"176",-1.36008071213069,0.00598444331144361
"177",-1.37499844648884,0.00692266384809478
"178",-1.34438219771757,0.00642311391950186
"179",-1.39232038217756,0.00744221481816431
"180",-1.38058272787171,0.00809171238610882
"181",-1.37263400284838,0.00605474728196703
"182",-1.35234671773914,0.00749774236254826
"183",-1.37663467521044,0.00620839413044898
"184",-1.40645144252735,0.00697408491789414
"185",-1.35106510339708,0.00753718672278171
"186",-1.36713672178591,0.00648458239482298
"187",-1.3844281156949,0.00542206029852184
"188",-1.37839152561511,0.00746355112125827
"189",-1.37931731096807,0.0069403312163506
"190",-1.37606158864752,0.00729680001620548
"191",-1.3503677986835,0.00745855796360965
"192",-1.39845774823398,0.00747301659326918
"193",-1.39170142596344,0.00811159182809689
"194",-1.35522071380795,0.00690395210751535
"195",-1.37387127636115,0.00665028776969798
"196",-1.39170142596344,0.00811159182809689
"197",-1.40742366814309,0.00731535223257218
"198",-1.38140388367025,0.00821115280113588
"199",-1.41628756708547,0.00722645195276021
"200",-1.3453177349681,0.00877348727272271
"201",-1.40051444966537,0.00710946026412577
"202",-1.35642395775592,0.0070913059035483
"203",-1.38343888357579,0.00813364178201358
"204",-1.37886266525502,0.00783388549402909
"205",-1.38124422830779,0.00771222613488786
"206",-1.39080215320818,0.00616921810263816
"207",-1.41634637464754,0.0055539833926945
"208",-1.38046453110287,0.0059399393233205
"209",-1.36022603361063,0.00629071061405531
"210",-1.38642772713997,0.00759100343962164
"211",-1.37775378360503,0.00719579431642976
"212",-1.36301486858309,0.00739513590444089
"213",-1.38941245439134,0.00815047224381091
"214",-1.35758612055845,0.00788929083168129
"215",-1.37629770553596,0.00722485592444218
"216",-1.35761410683565,0.00601520284048059
"217",-1.43300482307133,0.0068649285723793
"218",-1.36679017261009,0.0067120138077602
"219",-1.365853814478,0.00725216411077932
"220",-1.38775502835521,0.00731124576870563
"221",-1.37730535732036,0.00730855976861822
"222",-1.373560382163,0.00693405671027031
"223",-1.38240678402803,0.00604265064769734
"224",-1.36623751020101,0.00494404103890443
"225",-1.38414651569903,0.00584380338708644
"226",-1.44154765051603,0.00709876396586628
"227",-1.38683314490581,0.0075049999529659
"228",-1.34581334514514,0.00671797049608331
"229",-1.43898922029362,0.00676795654834615
"230",-1.3795174839836,0.00617233590013699
"231",-1.36726531908793,0.0077775683724672
"232",-1.37973967783003,0.0075463027389769
"233",-1.35522071380795,0.00690395210751535
"234",-1.38014872555526,0.00790616841338865
"235",-1.40344185614485,0.00697062080083664
"236",-1.36397301377696,0.0077194796701943
"237",-1.37563635272457,0.00797669617251515
"238",-1.37832483822016,0.00795727772058588
"239",-1.43957987505244,0.00682691061780591
"240",-1.35911137070163,0.00681637554010269
