"","beta0.1","beta0.2","beta1.1","beta1.2","sigma"
"113",-13.0563092021456,13.70236768329,-0.809420753760618,6.83153312476683,1.10685110206519e+308
"114",-125.326565406233,-106.397566204365,-178.587757204036,123.479666007863,3.0564108347198e+307
"115",-7.73831614045371,4.35897907143006,-13.5547634265831,4.98601045060958,1.29519215630503e+308
"116",-16.4463518995986,-48.6818780561813,-5.73653094489159,64.5145066183057,7.47707857676843e+307
"117",-44.3535715963187,102.605901708132,-118.776547255749,55.0837125458853,2.50019244221054e+307
"118",-19.337941694232,15.2394669139911,-16.7652702702329,0.402022437438775,1.09028756025012e+308
"119",-33.6738108351013,-11.484673379717,-1.21409906161457,104.034564064733,4.46796037469154e+307
"120",-79.7378067670582,89.7623288064569,-113.369335300592,146.685685450613,1.16901956641029e+308
"121",-112.365851264198,-0.840416792508258,-51.9552477207938,254.23141392301,1.0182596058497e+308
"122",-87.4776946348261,104.265484157291,-6.26600840598667,197.298388067163,5.13929140930415e+307
"123",-7.32159833567462,-26.9974263095989,-69.1318720734553,36.9002019760406,5.6763363163305e+307
"124",-48.3580342288374,48.6332735137681,-22.5869487750375,218.076707041203,7.55579324667881e+307
"125",-74.6006001160455,-63.2754086254054,-82.9856856631191,52.6220519230375,8.13891928648522e+306
"126",1.93167901205451,109.445353919882,-27.3155239139164,31.4240875697436,6.27001646715876e+307
"127",-121.303654198526,-8.35535676248737,-176.947338605743,24.5011141550979,9.11782869393241e+307
"128",-58.1928844907118,67.2184631760749,-33.5442453507471,77.3859161967391,1.30717267313349e+308
"129",-13.4966056976343,-24.0652042777974,-28.1010570800229,19.0315518451923,3.59466385406466e+307
"130",1.65589019984861,51.313743715034,-54.2846657437252,14.9967327203438,9.27139278092195e+307
"131",-20.4421729856869,46.9790528865848,-105.195822836388,18.2837181785052,1.23126570010682e+308
"132",-42.7755779976453,-75.3935543066355,-19.5950386613095,60.9932760192842,7.31186722746623e+307
"133",-93.0402640971392,-44.9187548394023,-131.320827620974,162.606216250167,9.57678773784121e+307
"134",-5.54944379831145,-15.9830115510238,-66.037478586979,76.8006676730557,1.49399988032907e+307
"135",-68.8979029224672,-30.965256785442,-67.1314281217094,98.5640509579445,1.31032654350685e+308
"136",-29.4529673015447,13.8963499675104,-52.3154307120925,10.52775311739,1.11822185918735e+308
"137",-3.96623030335648,71.2673261804289,-8.8204596873349,80.8231952633555,8.44770894148847e+307
"138",-12.7694524198971,69.3451525761449,-48.2273220670696,81.7260004994064,1.40955755192443e+308
"139",0.430086422501617,18.1245750388766,-66.0988677721535,9.4574680889609,1.64811503816554e+307
"140",-19.4175926056008,32.7920554460822,-37.7289535512881,140.436655156535,8.68679361284722e+307
"141",-23.4610845553449,-5.08169874367099,-39.0752652408948,15.1432608544578,1.02997565312262e+308
"142",2.80155049867402,35.3244775405225,-100.685156233121,87.5161489219483,5.16974658987184e+307
"143",-16.1756464485317,4.45054890573951,-83.3678486201029,18.8181585792769,7.36923710928617e+307
"144",-31.0590613575194,53.3886343402397,-16.1996559143353,58.3824911094822,1.55294671877949e+308
"145",-70.2757065369856,-41.5294894211194,-52.5601376107177,87.3449221208465,9.37543188066153e+307
"146",-44.1316187188493,87.9350588507885,-37.765644347912,192.612981795526,9.5572935300429e+307
"147",-25.1348604989655,-8.67456158861705,-24.6528860623017,19.0067118573959,3.50402442131109e+306
"148",-73.5833706222651,84.0144360095594,-114.749629571623,122.972464317112,6.56093193712032e+307
"149",-4.31169107541573,9.31321403915448,-72.7659457155589,4.87206817275765,8.54599141408567e+307
"150",-19.5864111048204,-13.4992024685423,-33.5962820645742,28.0587386254359,5.70552049801872e+306
"151",-3.21969409585744,-39.959887513499,-107.932578547321,92.9560916878778,3.28270024795896e+307
"152",-29.0436236492784,-95.8599357211301,-71.436075487401,129.505361376123,3.12082850397817e+307
"153",-106.772106160086,-2.71443975626409,-145.610326542954,21.1506933894981,5.92850185167895e+307
"154",-119.215553374734,-13.7538904064414,-59.8372348873709,255.634204337901,7.90783521416706e+307
"155",-137.576455062337,-19.5462668885249,-70.9043800474846,301.910781607543,3.07713070107009e+307
"156",-3.44047594929357,83.8009507115351,-129.709551648189,45.2680869635075,1.32113347874926e+308
"157",-122.560584379631,-13.1302472112247,-166.98895522666,48.9535094606699,4.25089055676083e+307
"158",-9.69142377034913,15.153924548389,-7.46896273431113,6.89575391090629,1.10700792057243e+308
"159",-23.3192945558526,-40.0319379276281,-56.8826600265897,44.0343995329871,3.71198033302271e+307
"160",-86.8659176057954,12.1787055336977,-128.480232118757,31.4286853119041,3.66012308197135e+307
"161",-75.9825389331971,122.108130617432,-23.2062106171803,200.071379620903,9.04566692161202e+307
"162",-12.7795658177213,74.8704885838745,-40.453628302659,71.3882750550863,1.64565958593504e+308
"163",-0.540100596343249,70.8817981539056,-36.1944408336401,80.252239491479,1.65689580876063e+308
"164",-44.8856675163607,-83.8401044761204,-91.330884361122,135.615727014655,1.21614010303207e+308
"165",-68.2915197794532,60.678144632676,-50.2203605144955,211.659584275367,1.27740837440593e+308
"166",-10.6680252295027,2.13682474143608,-36.9239592658286,8.67712943093006,3.2082533501575e+307
