"","x"
"580",1.9083883855379
"581",1.73293701973637
"582",3.21536722300888
"583",2.59309170781159
"584",2.47070322947349
"585",2.58058181278996
"586",2.2510285310612
"587",2.70025648278896
"588",1.74029077334814
"589",2.28965139540782
"590",1.99877485655623
"591",2.79529370111127
"592",2.29167210398403
"593",2.71561628268172
"594",2.2812340796648
"595",2.89336048135819
"596",2.81218625945911
"597",2.08658369386727
"598",2.78505545591779
"599",1.83244226368387
"600",2.27189299889185
"601",1.91885620675131
"602",2.73014780824168
"603",2.32283998216447
"604",1.93242682722921
"605",2.26080924376653
"606",2.27915154389234
"607",2.12953153182861
"608",2.66162170009694
"609",2.41811505233631
"610",2.49647437702201
"611",2.69036843471643
"612",2.70403148400999
"613",3.09139370189218
"614",2.41893547308506
"615",1.86817205013047
"616",2.26528240135206
"617",2.58458716323178
"618",2.94317251853697
"619",2.37731568968714
"620",2.48254937065976
"621",2.39923283002127
"622",2.43687656863041
"623",2.52484853163246
"624",2.42060588771432
"625",2.37573321105491
"626",3.10914047407718
"627",2.5617418939602
"628",2.84745160046924
"629",2.64531535402781
"630",2.76555244164778
"631",2.13601093866669
"632",2.22529744120103
"633",2.05323297003398
"634",2.41146148324885
"635",2.156853840225
"636",2.24257894952263
"637",2.2628677052231
"638",2.89813946182017
"639",2.20196877931647
"640",2.21467795146683
"641",2.15036058254657
"642",2.32822896529916
"643",2.29262752268862
"644",2.70227109882748
"645",2.67517458462813
"646",2.36980058780041
"647",2.67353847741095
"648",2.25692455752609
"649",2.21311303828242
"650",1.89645294676482
"651",2.28276529321558
"652",2.37866979054068
"653",2.14899773633959
"654",2.11846383438685
"655",2.30764779272269
"656",2.1585138207741
"657",2.27029828387227
"658",2.14660852047416
"659",2.68419367289633
"660",2.36314152172716
"661",2.13091334373063
"662",2.58744682973718
"663",2.09414244055015
"664",3.18700652749697
"665",2.15202252938452
"666",2.77813412123831
"667",2.83770171476991
"668",2.79725457538501
"669",1.78408619375637
"670",2.29408966387989
"671",2.10672857956498
"672",2.8741139811092
"673",2.80866517174226
"674",2.32526192412963
"675",2.54725329885497
"676",2.34257070825446
"677",2.00734707527725
"678",2.06818104034098
"679",2.49114947449069
"680",2.01884132997294
"681",2.07634423467661
"682",2.67011583234729
"683",2.3965828780121
"684",2.22300832071501
"685",2.34283352605239
"686",2.0452573415103
"687",2.08897520761818
"688",2.52745393024053
"689",2.36473912702926
"690",2.87137547504896
"691",2.49540884363452
"692",2.30360965078815
"693",2.86489569761462
"694",2.613224813075
"695",2.23351821088691
"696",2.3949816981053
"697",1.83273125789326
"698",2.52938266358067
"699",2.44528061612832
"700",1.8953101054931
"701",2.48672772887467
"702",2.81870673599627
"703",2.30998712945406
"704",2.492234522728
"705",2.5750700376229
"706",2.38791169636215
"707",2.53503965336401
"708",2.7297531466369
"709",1.99635367099135
"710",2.24398143735469
"711",2.29643549417523
"712",2.40276791816246
"713",1.77924872076222
"714",2.33763211570185
"715",2.2354093009166
"716",2.27722417764818
"717",2.4559956236985
"718",2.39953696268729
"719",2.09473006765973
"720",2.35478330582977
"721",2.20344446023319
"722",2.10027217983178
"723",2.2646285238409
"724",2.90202237592481
"725",2.36252444604552
"726",1.98582354575938
"727",2.47515991362654
"728",2.59297930845279
"729",2.37617889436932
"730",2.20190204239995
"731",2.49523599171161
"732",2.43258221918674
"733",2.46910738655001
"734",2.37665221579241
"735",2.19185814971634
"736",2.67124531721098
"737",1.93510515299645
"738",2.44840043503023
"739",3.00162748395349
"740",2.58412829626859
"741",2.22199087989643
"742",2.15184252560406
"743",2.69384584859756
"744",1.81180986363951
"745",2.17047111975289
"746",2.84298250292774
"747",2.50451453131764
"748",2.13983159154991
"749",2.53268224461796
"750",2.23720904801809
"751",2.18360098069528
"752",2.13763319524096
"753",2.30039097255287
"754",2.56733265912873
"755",2.12090135098022
"756",2.42196926014794
"757",2.7456030179698
"758",2.45048479008471
"759",2.49700461444086
"760",2.20141504563651
"761",2.56825756789763
"762",2.08792008287337
"763",2.32369922180132
"764",3.12454323687628
"765",2.80358292137012
"766",2.343633037402
"767",2.15226499897672
"768",2.8870429245499
"769",2.30175766398654
"770",2.55477808831689
"771",2.36530534650393
"772",2.0937214883466
"773",2.39015672063796
"774",2.02806736175274
"775",1.96107682573592
"776",2.84004391962866
"777",2.0790834453744
"778",2.79930103354955
"779",2.37303505845275
"780",2.25887522536892
"781",2.40694262990063
"782",2.48543774426031
"783",2.73530118506736
"784",2.40553461774369
"785",2.27505909917046
"786",2.576746904208
"787",2.38416555785072
"788",2.77080659665534
"789",2.40955774703683
"790",2.56677102630659
"791",2.74830106182312
"792",2.42096213238969
