"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"25234",0.00981037296307411,-0.113435342448744,-0.1644393977171,0.246045226518868,0.162351654953582,0.110034405557864,0.0811582445542028,0.121211291935592,-0.441988883947851,-0.321728221383905,0.237783935526671,0.37685320669161,-6.74469130608343,0.741511550598399,0.0368624228757682,-0.142799563972692,0.149219078499168,0.524565991756185,0.0257193414218632,-0.384437659583681,-0.0455701984335241,-0.182464743897905,0.0179401003498712,-0.126097260250392,-0.094066500467819,-0.146367264254724,-0.0891158989277258,-0.143556411728016,0.27410167409407,-0.283112230182465,0.0171327256729432,-0.297362714744382,0.123733324560242,0.451574785762641,0.227476607910059
"6101",-0.0969905179160545,0.13746220559967,-0.10445283021474,0.119153803965624,0.181044436213193,0.0612370565115948,-0.135021942079499,0.20705111315041,-0.5530960105209,-0.314914581362832,0.0428673306339629,0.399652493000383,-7.44621825763052,0.810869190937422,0.344000912353434,-0.176113372904795,0.106118596043318,0.481271472015434,-0.0161213024052159,-0.536096486082059,0.0288077547662147,-0.00660953085548743,-0.0345655770014388,-0.12107458668571,-0.110206267662149,0.0125634152919488,0.283690310734527,0.170535042411708,0.177665270115721,-0.0665456769739014,0.12742136379739,-0.0673076782838871,-0.0489446848852367,0.286234024534734,0.217297807182072
"20214",0.217760791138836,0.0778540668961945,-0.207593681085576,0.229767389390009,0.221157507357001,0.0080455050302888,-0.109356865292442,0.080595759321095,-0.48017390236412,-0.30480846046738,0.0779137464568913,0.379519945075788,-6.42721652738751,0.716217618258422,-0.025356414611856,-0.0686687613354394,-0.0142872590654,0.560376086132414,0.0921139114328087,-0.311899555887178,0.00678317076217445,0.0926311282934923,0.267346499418034,-0.0657815856363403,-0.0640234512126586,-0.0659422163657054,0.0968202446046853,0.191910860045827,0.227202896430462,-0.0310232923382769,-0.178052800962886,-0.0935292235260343,0.100071461854371,0.565139194064554,0.171819787822903
"17031",-0.0835997276952058,-0.0319599803120689,-0.494037235001072,0.254854783841707,0.308290189676111,-0.0243247411387013,0.0658792294325379,0.0648265560986323,-0.564000549537735,-0.380792859621204,-0.0090937102887208,0.246690539262226,-6.38829250019232,0.73921440324771,0.00707195013541313,-0.442732792612838,-0.0329233200917195,0.354889908560537,-0.137095721180876,-0.327618130842235,-0.090244746006323,-0.180456559042305,-0.128723416393217,-0.00692034593327347,-0.0676700267782444,0.21036237226649,-0.674868644043754,0.190576333491691,0.403685091731893,-0.598181210042381,-0.0287012772966948,-0.283346369304876,0.106926899900599,0.250933413483411,0.36090990067458
"4979",-0.113596777784856,0.0912200912262538,-0.284916801388978,0.296255106564738,0.035038415256091,-0.186681596612246,-0.307847602823854,-0.172347560269112,-0.560656458331634,-0.610177359686579,-0.0796822189072809,-0.0307526449712184,-5.97181948620288,0.686623413802484,0.207418953856925,-0.163496607642505,0.195655692935318,0.679607163568433,0.10124644730317,-0.0499544052416658,0.110433778770006,0.16605169794337,0.310990533763073,0.343710426834134,0.0519790902612315,-0.10805534788267,-0.146990374995658,-0.0502119104619391,0.00809449616664098,0.226874964655372,-0.0141119473172951,-0.191467188079504,-0.105624950184886,0.321877769965841,0.228489762273259
"5881",-0.010869500963929,0.0140802559522339,-0.452978163202113,-0.172737019703399,0.0311364677519885,-0.200036736657452,-0.138798262272096,0.130019156561514,-0.471792208507283,-0.465868915381952,-0.033911972827918,0.0708328487695766,-5.57862501285371,0.663402533860381,0.237309553595587,-0.10443877641544,-0.0600723424537978,0.468125657822063,0.129466411306177,-0.322477536000518,0.0403833157599668,-0.164963982848934,0.143643484722866,-0.174201894510102,-0.173283737925089,0.0827425946656801,-0.393036737878183,0.459271242152622,-0.0310456451486592,-0.105985007013699,-0.180907575501143,0.0210338211251952,-0.049891936932514,0.214584287341492,0.270540008240562
"14165",0.332912421455176,0.274950210963246,-0.0152464183493868,-0.0787677451022211,0.191457051896904,0.146044283199224,0.0782997038647371,0.100881199586387,-0.331318441577322,-0.109168613597212,0.163336776756136,0.474696066789809,-6.41046706152588,0.710643552391633,-0.0519101546070641,-0.100329447102003,0.158979191858279,0.55698576011937,-0.0790394759557339,-0.301168687403633,-0.0507017246317608,0.00403358504290595,0.140220643620408,0.275863683848965,-0.124960373973666,0.278158083506214,-0.330157509093234,0.191462269603174,-0.277859012219333,-0.00609685359159735,-0.0486168852267796,-0.0135728142274043,-0.0171631548843486,0.235779286655414,0.205729391082478
"7014",0.0135898235166118,0.095872115603327,0.0190581331131516,0.0759172109845204,0.231292088929293,0.179458676593853,0.226621572213244,0.186552398534133,-0.301400061075688,-0.314335164647653,0.331786403242014,0.339196459935679,-6.34728187477388,0.703763056700892,-0.0632835037581795,-0.260168066980076,0.0116363064384002,0.648464491307115,-0.149253548350434,-0.239711672983542,0.0764754978087958,-0.20308418241847,0.196697440521958,0.13523669559811,-0.0953294045352456,-0.0657097713404104,0.308079814471421,-0.0201220887433775,-0.217429017245999,0.0818978427229998,-0.0844763646897426,-0.0866486394359141,0.154959695529723,0.192552828957316,0.215086047002815
"8694",0.196479157453983,0.118650490110386,-0.343156114639982,0.46998967110888,0.27041144089599,0.0314359516565237,-0.199526740840449,0.0208555204451803,-0.309944434483743,-0.468097975024017,0.232081304471727,0.342455678543644,-6.54048806843297,0.73143626909588,0.044463457022743,-0.108274571418718,0.0971552480549749,0.581536054466684,-0.109658102045634,-0.262221731123141,0.0808748221825003,-0.041166044624644,0.0699241082182946,0.0492468286850443,-0.151932790949932,0.0160995068492921,-0.158054031358524,0.0462596492946011,0.11555152854995,-0.0263151873869798,-0.222514043691053,-0.108898910309689,0.00410857984777781,0.385254464365786,0.19274198012604
"13910",-0.292198776296373,-0.251624652861229,-0.40241271899565,-0.170848778066513,-0.156320276443731,-0.160750132107767,-0.274124441253548,-0.0365567165051835,-0.712149550957341,-0.451919606706193,-0.00061889366094723,0.287352495144373,-6.34095964832598,0.748401039009328,0.240047432385179,-0.297345213634975,-0.0589143229285686,0.211999492360478,-0.262510182612755,-0.383957631395023,-0.335893878297095,-0.165031312488668,-0.121615454805977,0.579720152691193,0.265084192018099,0.209220250931605,-0.168695908898028,0.312982014846069,-0.3829281407576,0.289133601346331,-0.216903463255301,-0.213157702742243,-0.122954327452012,0.296583385913121,0.330808761997547
