"","x"
"134",0.490893989176098
"135",0.479813584975642
"136",0.474621824531471
"137",0.495760037391141
"138",0.464458008665625
"139",0.484904879677187
"140",0.466456528837902
"141",0.451699431900914
"142",0.450727256802401
"143",0.482550569311036
"144",0.487009033395363
"145",0.450730716813513
"146",0.471529826437843
"147",0.476952660021367
"148",0.468286937435998
"149",0.502992539163278
"150",0.480537392003552
"151",0.440299450871019
"152",0.464527058600332
"153",0.492456007457434
"154",0.506133642803801
"155",0.490723791422168
"156",0.486942484977917
"157",0.435682672297712
"158",0.457367736660684
"159",0.462829346226065
"160",0.454400823379394
"161",0.486297755414355
"162",0.472715915261351
"163",0.471408159062768
"164",0.478935221380042
"165",0.478626096839754
"166",0.463907851796019
"167",0.498378721378126
"168",0.498040558025317
"169",0.486746401957285
"170",0.47189625535979
"171",0.484793978339463
"172",0.458630123540013
"173",0.495494794168902
"174",0.495790814455967
"175",0.459699642608787
"176",0.480138526064581
"177",0.469426318186571
"178",0.476249577563493
"179",0.461584367533042
"180",0.484960651630332
"181",0.496172880704846
"182",0.482186012583583
"183",0.480515191554086
"184",0.459696761236645
"185",0.461337158130759
"186",0.441133114031131
"187",0.458698128097068
"188",0.458513925731244
"189",0.467489606535252
"190",0.487963111937882
"191",0.491886210686797
"192",0.461730527289504
"193",0.469869845651064
"194",0.48941979642381
"195",0.499673890991152
"196",0.46621190299944
"197",0.450843702093315
"198",0.477972932718358
"199",0.464669980839563
"200",0.481495804107823
"201",0.460897962711705
"202",0.474524977202981
"203",0.44337322507269
"204",0.483233595909033
"205",0.470977183034931
"206",0.504470423550044
"207",0.456012666263623
"208",0.475325335540453
"209",0.472176114414864
"210",0.469973026530418
"211",0.510037327390257
"212",0.459392038946663
"213",0.474037654190169
"214",0.479855028782348
"215",0.473663953785558
"216",0.465214435992012
"217",0.477901967194695
"218",0.506338719931926
"219",0.497560418796337
"220",0.480247082686394
"221",0.487990660861268
"222",0.476509699582942
"223",0.46213918968755
"224",0.507707551450578
"225",0.490299540326394
"226",0.451202800031344
"227",0.511087234821906
"228",0.501067826464413
"229",0.461309759655469
"230",0.474294822495948
"231",0.507256819449687
"232",0.493556788240482
"233",0.467859972151427
"234",0.491427781935359
"235",0.452995713101843
"236",0.479856267179835
"237",0.486457784939922
"238",0.491943368551794
"239",0.450767622402284
"240",0.502054648750254
"241",0.479256538334191
"242",0.517868269402033
"243",0.46877371511864
"244",0.493066746433509
"245",0.470759847271712
"246",0.508969348185869
"247",0.457450009461653
"248",0.523846919442303
"249",0.451489500787655
"250",0.449782588341819
"251",0.477371364214803
"252",0.476084634489494
"253",0.470856107071968
"254",0.475774253491783
"255",0.450868794177513
"256",0.489000890440223
"257",0.481474528083026
"258",0.457780601866881
"259",0.486847199492152
"260",0.493516534439952
"261",0.448882880617782
"262",0.47600339950484
"263",0.452484761954816
"264",0.479286383683797
"265",0.47255091124117
"266",0.476819118219047
"267",0.479768277626964
"268",0.470045128288338
"269",0.473475146977385
"270",0.486475620129392
"271",0.428033891560414
"272",0.477730676817684
"273",0.476608864877005
"274",0.448662216470478
"275",0.480737025264373
"276",0.469793361225215
"277",0.490708363644368
"278",0.504316079562419
"279",0.438034683891746
"280",0.490832266941709
"281",0.488396615561735
"282",0.509455889718137
"283",0.470763304899476
"284",0.454578977806256
"285",0.475270660104445
"286",0.491172747416942
"287",0.458224336963147
"288",0.477435069552813
"289",0.475681073157516
"290",0.452410387545578
"291",0.47707684243249
"292",0.44779276183828
"293",0.47264199691989
"294",0.476785837851793
"295",0.468954555267234
"296",0.482022574687674
"297",0.479193873166008
