"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","w.13","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"24390",0.733248187264102,0.539930593333368,0.272310863547081,-0.862804362199102,-0.055600655818526,0.0296673472100638,-0.0234520762745245,0.121469523680363,-0.585234016487234,-1.00210653455688,-0.0066761286874043,0.344092879695621,-0.162880507359737,-17.3871788826045,1.59258366992541,0.391397250510205,-0.189795911613383,0.0934072984054355,0.56026045077423,-0.020459015873728,-0.581215942464265,-0.0280102792167781,0.164872296096656,-0.0747145606729246,-0.292046458694397,-0.60917986665534,0.0509932461111236,0.423892131240264,0.156005755687392,0.258246060275114,0.307193559595135,0.394167069139761,-0.244609459823526,-0.178343898020978,0.543909333115204,0.344717477309683
"10114",0.798360818833238,0.761556049526326,0.534600395677582,-1.95576287426285,0.251306279602457,0.163043132797499,0.0389665435932619,0.197451223826484,-0.689016598233577,-0.877592844388554,0.175385299837138,0.387626946297305,-0.325924625866507,-17.4626293622448,1.59245979557795,0.227338479220499,-0.441839298718732,0.102141601364773,0.669765928674995,-0.00204454470130052,-0.510074561676449,-0.0730250606421653,-0.111529537117524,0.0555158918147897,-0.470906817989265,0.127451345748781,-0.456044146151292,-0.0638676750057358,-0.0184131403085453,0.157917073044215,0.249270967551864,0.513076552862363,0.133123035117011,0.285863652635286,0.80940328056304,0.256013228800089
"21686",0.947338278612091,0.55974804239518,-0.150122967325006,-1.67360016726949,0.138430616524221,0.107226563444005,0.262521632669358,0.267587122160896,-0.679576054515157,-1.02070159605976,0.196581618630571,0.311931352807345,-0.526690716386041,-17.2294641316543,1.56950493396558,0.15916692304645,-0.290686312334741,-0.291321879087438,0.576994550025366,-0.307455584735868,-0.594384572867265,0.146980013456061,-0.116664722403958,-0.0273765783296742,-0.297188693873021,-0.372317158473193,0.351315355637106,0.378853143000353,0.173332108848244,-0.0613357063896867,-0.25396600681592,0.332776550479699,0.168195731060744,-0.0543644360898694,0.989470926773406,0.342019723110952
"5962",0.937751963951376,0.346476383448169,-0.0769100267516871,-1.59244282496781,0.28250822052179,0.235512882891077,-0.036339492344232,0.0672374105604815,-0.809568873430892,-1.062052949765,0.097853558811123,0.475278325112927,-0.217142617454735,-17.9856363565118,1.65602044252754,0.754832954436772,-0.584786603417732,-0.531208551044903,0.538168080884354,-0.328867109380385,-0.732915568649466,-0.178770431596092,-0.236799005412578,-0.376575044762848,-0.156817842043545,0.699557084717235,0.119554657737014,0.239006251897238,-0.271375923394915,0.310469438510318,-0.596030568380324,0.383577873766555,-0.314442784018459,-0.464121169323729,0.838330654945986,0.379844326116558
"7585",1.25784250627681,0.920934874090758,0.233986667114127,-1.19256240197114,0.0661687995124454,0.105729209625873,0.325716086319481,0.449782632177891,-0.707057387403365,-0.69325786236691,0.245662891108747,0.485476244864937,0.209409106284658,-17.7745827100817,1.60722506548581,-0.745911069490612,-0.412546992571171,0.227288239761392,0.649802845155003,-0.066710389248938,-0.551505310861132,0.111145127276721,-0.225338512026331,-0.0887037388050277,-1.29107713360069,-0.184588972186636,-0.923388529433955,-0.217966882091176,-0.380366523128555,0.0819483919980835,-0.540892854068118,0.354182233676044,-0.119375558872809,-0.290423267733497,0.674883041751502,0.650079033505175
"13181",0.653348485439114,0.526748846939199,0.743616927240662,-1.48230885509744,0.216187987391845,0.147385282722647,-0.0941178350803334,0.0284011226983413,-0.845672994151846,-1.18627783058291,0.0425963379906348,0.274680306475526,-0.0675174231504275,-18.1189337601574,1.6671656195269,0.0459151231195756,-0.434859239875298,-0.275274862771507,0.760546876175666,-0.278618262511255,-0.598925068317954,0.00330135009190887,-0.0226033081662161,-0.291361246391554,0.148226758900792,0.709139082291121,-0.00716130892737729,-0.0758791423021804,-0.57353642509667,0.118373801617341,-0.0947352726562882,0.473913649436694,-0.214659778661106,-0.0979284320743828,0.56794383917263,0.346558863303962
"2364",0.940691252594984,0.929757460037788,0.422859388546255,-1.3572886323372,0.467827524836241,0.402329475693843,0.502108175917481,0.437730535317978,-0.593647345099622,-0.48335048928649,0.438099633992229,0.69822415769652,0.561665197096883,-17.7403382561328,1.60027040566709,0.552881043210564,-0.686377394646325,-0.302471669684375,0.536252043805641,-0.293282796738831,-0.568840068467862,-0.105680449277975,-0.114036953222216,0.183681191394052,-0.165279914194743,0.299779357297501,-0.0858954317350201,-0.708620924832141,-0.103561521013895,-0.322437421082239,-0.295840526725979,0.430794598913085,-0.0598705446378444,0.0714298164949319,0.713280152335009,0.338141321424609
"24091",1.64891402942675,0.971719323309728,0.434480493536639,-0.941371555171787,0.33302272594648,0.0721433158568346,0.147769544424613,0.172979912325306,-0.795499884766752,-0.859496547612115,0.222346228720407,0.726620381114866,-0.982532251142877,-17.7453500265342,1.60237794540152,-0.281081912767214,-0.212744040649955,0.0053868499925935,0.822884878476381,-0.191686205630953,-0.363371383289782,0.0154870750472507,-0.000893059819760213,0.187954068448537,-0.0234445580819856,-0.205484942619645,-0.116694096237141,-0.0242189638446881,-0.384357793573203,-0.41992163511317,-0.689913763611147,0.148954801103711,0.0231211184728574,-0.630513024118933,0.831843783052858,0.412851295659304
"19433",0.422314220821631,0.168843089237876,0.194096701211933,-1.07202476921176,0.422279996298972,0.459418471198215,0.213811738612233,0.0757506820357964,-0.604616418735401,-0.96586845631706,0.336139554356918,0.552282009180332,-0.103077611614622,-17.7342721546079,1.59794542798846,-0.172642581255674,-0.284094183420428,0.127907366316838,0.856737565139106,-0.00806173444839754,-0.491446158020482,-0.0545905618930493,0.0196336924213616,0.208205196350685,0.167818579039675,-0.212982997936046,-0.0568460116270537,-0.0764167233632078,0.202973201354279,0.768735937778166,0.685282527254056,0.839368746148547,-0.0757145054775553,0.341834422862661,0.44672436310092,0.369983623496244
"15690",1.69081357747171,1.11590322014649,1.41902916967242,-1.15441344801071,0.108753549429662,0.377897276972182,0.283792545693547,0.241801582223596,-0.761987662678684,-0.763869323832125,0.399053762268851,0.667475942803709,-0.723668980683459,-18.5085754179095,1.65304490418667,0.584444397966728,-0.0593113654319677,0.307216745494708,0.832784692333057,0.259569639323248,-0.355513663993244,0.535663654264421,-0.129299480418991,0.297064670209009,0.0269441709387169,-0.0916331923843194,0.0277556240571279,0.00697748257430838,0.372950573438303,0.00673015522617158,0.182277194585301,0.248275711315922,-0.335902695593388,-0.162696677073523,0.850454027550205,0.263565789961284
