"","beta0.1","beta0.2","beta0.3"
"8260",5.05207993519576,5.14188354955951,5.22932585007207
"19535",5.0649705301715,4.89979697280869,5.09771681866491
"24720",5.05398333310161,4.79835578293696,5.2449627936017
"21594",4.93030194777119,4.94041751277982,5.08361024893978
"10533",4.89412419976293,4.96204382308065,5.24244084702656
"11375",4.78948800056432,4.84719825604273,5.16318656885566
"15472",4.9863634296598,4.90278378580541,5.17682020209104
"10061",5.03609086361496,4.91687365252774,5.18321428613243
"8749",4.92168971574205,4.83501774059035,5.14007458749994
"22207",4.82123048306985,4.93525763041852,4.99830077679258
"14313",5.20393029645186,4.80112895005013,5.10576845829684
"6462",5.01141460300109,5.27208456794018,4.95472583087487
"10856",4.97577838280922,5.04977590241039,5.11202997810756
"830",5.09530148588708,5.00626396858508,4.84210877972441
"23316",4.95352041502776,4.91985935168485,5.01343890999119
"17406",5.15423317555323,4.7966861244433,5.13402581723969
"19972",4.93098711586551,5.01309627111042,5.07626012802073
"18508",5.00891902212705,5.03947766628837,5.14988280903185
"7973",4.74893992997698,5.13174732749771,4.99038513482755
"7422",4.84138733598935,4.9500187582354,5.04428981754517
"23573",4.75223483954372,5.29224904982537,5.1134982560581
"23781",4.72214267132997,4.89691230266941,5.184642474414
"2181",4.94797974849929,4.86725557697382,5.04274248391959
"2105",4.87130941358952,4.91196484540213,5.08924339845398
"9001",4.66244631865838,4.96533067798393,4.99599951050049
"19034",5.05890003143061,5.15404036550422,5.02481560921014
"20032",5.11121232831928,4.99913356790296,5.08517210509131
"15736",5.09137431418213,5.04864303242735,4.97908255680166
"7300",4.96496637249721,4.9808796912309,4.92704622140634
"14537",4.92523222051191,4.93132528799315,5.01627128582221
"12855",4.97253891872446,4.89856723232945,4.96412073109656
"11752",5.18565700554024,5.00621569585026,5.13425519027798
"10726",4.8321362130747,5.03886094986255,5.15904129072695
"10714",4.90255823300991,5.08140100723386,4.98958805133219
"7008",4.95507373166256,4.96571112416502,4.96423702179459
"9867",5.07399478605746,4.91478375478931,5.16439736179857
"21855",4.89329230109712,4.97822453584701,4.98216087836309
"21120",4.99191463697308,5.0473697370302,5.05162708322525
"12131",4.7220835295169,4.94643395281542,5.08963185535916
"21414",4.86134628598604,4.75813639443999,5.09296396148803
"20410",5.10588558902073,4.83874140590419,4.99669875692203
"2496",5.01800741687607,4.82538616247902,4.98036676188507
"7883",4.9644379642615,4.83764531427148,5.08440556835214
"4161",5.05862570171553,5.01683741623026,5.07279823761032
"9044",5.00999211995042,4.99823422484217,5.16432746672621
"10916",5.03711125786475,4.93050530628952,5.06774892720134
"9215",5.12029325977024,5.05463645192838,5.03744921265235
"3354",4.90394750031893,4.91861228891274,4.99134292857637
"10340",4.86988056795176,4.88688674155698,5.06974772902674
"12761",5.12569237996194,4.92486827721322,5.19359734669991
"24334",4.94931803811133,4.92462054083134,5.03290560391851
"20303",5.13911245619845,4.9813657811565,4.93334737152895
"13471",4.92772713231076,5.08648310975345,5.07727547766757
"7029",5.02894634227282,4.9121113514072,5.22277712231727
"9759",4.82589658167369,4.86225765786634,5.0500888596232
"17247",4.86102567224095,5.01549093667606,5.12447380317866
