"","w.1.1","w.2.1","w.3.1","w.4.1","w.1.2","w.2.2","w.3.2","w.4.2","w.1.3","w.2.3","w.3.3","w.4.3","w.1.4","w.2.4","w.3.4","w.4.4","w.1.5","w.2.5","w.3.5","w.4.5","w.1.6","w.2.6","w.3.6","w.4.6","w.1.7","w.2.7","w.3.7","w.4.7","w.1.8","w.2.8","w.3.8","w.4.8","w.1.9","w.2.9","w.3.9","w.4.9","w.1.10","w.2.10","w.3.10","w.4.10","w.1.11","w.2.11","w.3.11","w.4.11","w.1.12","w.2.12","w.3.12","w.4.12","beta0.1","beta0.2","beta0.3","beta0.4","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"2872",0.750696060929316,0.00258430151927835,-1.11515849466859,0.579695119208728,0.139564253157383,-0.977552770650509,0.547859557786306,-1.115706344575,2.99845350762576,0.505551601484739,0.559203455293004,1.19584334304304,-0.583772131149626,0.142229253624659,-0.398938781063305,0.295289388303941,-0.195742409842139,-0.097523492686682,1.49439769493309,-0.207314034617868,0.450070772393393,-0.0252259646817466,1.2427287849944,0.606855316166473,0.531525232724748,-0.623579392298465,0.691521093382154,0.0900491456704063,-1.29046600665714,-0.856772999332591,0.0655848334347477,-1.1170688856115,2.0638325873221,0.875308450430994,0.615959337986661,0.0818272954074695,0.393047230580411,-0.424959451279828,0.79306465066534,0.310733047606245,0.960644261812442,-0.128155609370449,1.70901373302026,0.88021619786599,-1.24884462777853,1.09408141076416,-0.0366127266040237,-0.453604934078704,0.626868155483785,1.96270389114302,0.34840333896698,0.700584481981451,-0.136945207612797,-0.349764410924768,-0.397823370841208,0.943873860184842,0.293595802883398,-0.463335139264069,0.222227509290147,-0.0957648066740083,-0.177577909503358,0.492536053628683,0.0713129909850078,0.582271542827205,0.472165494547107,-0.863578864178596,0.561976703453717,-0.270934740265471,0.394583687233103,0.199041646016576,0.731258771709261,0.811900825216543,0.433509503507147
"770",-1.05340057506413,-0.615417862983622,1.33972662626963,0.738222888501872,-1.34848724031884,-1.56549659445817,0.435070173282341,-0.558908830251437,2.4569642448409,-0.064979399659792,-1.94460751970632,2.83061487832368,-1.36029361573625,-0.0915720429621684,-1.23597534538171,0.354727991850137,-0.729859880680547,-0.406562901851115,0.64300317046516,-0.55412268167345,-0.270849575101385,-0.343311873295909,0.142247112235765,0.419897087075218,-0.869739180382498,-1.02707140243235,0.0525272435957255,-0.0283747179486862,-1.69819862444215,-1.3346668860272,-1.45667626401082,-1.17309749874432,1.3178348778614,0.97445566043274,-0.123859331193322,0.182967981300902,-0.511082997817928,-0.759809739209974,0.166209885960898,0.238394987500086,0.341249698422053,-0.400323530459369,0.835621839425624,0.853083563998101,-0.539361960389042,0.716875561434977,-0.87441696506017,1.0475017468012,1.76673396917394,2.61899280886235,1.3815026308661,1.00395976026767,-0.00392846156213475,-0.6527708791115,-0.634477685466382,0.598022160352765,0.0694055924008297,-0.623051879552037,-0.284081395458342,-0.382959520959133,-0.425929179630687,1.20912256337581,-0.226031990541678,0.710523996430186,-0.587770768936852,-0.615905886466019,0.710234285974921,0.594349455514884,0.152979787368666,-0.0915982750299193,0.693230333339266,1.04931751709125,0.580109047247878
"9125",0.0886223425506254,-0.298171031269172,0.037023238476833,0.536712068524469,-1.08854861803977,-0.867203169768098,1.3209894494782,-1.01879725143785,2.25314081388348,0.524340222677082,0.932210378007472,1.46718016119583,-0.916229985238883,0.232681132510742,-0.623596519264964,-0.026231140689228,-0.425630298820621,-0.0539304010057079,0.864734100262109,-0.814807261295183,0.0767702414396378,-0.0585802595238733,0.588894330806946,0.310597592151452,0.120901879887407,-0.699589621260271,0.772727395151133,-0.535500722418127,-1.36713494523522,-0.971663153871828,-0.422168021969805,-1.65687292491108,1.84126754479206,1.08627577030902,0.705678891784288,-0.211299914116187,-0.12551844363013,-0.387674019953748,0.937884934414238,-0.231222938892721,0.506937878433169,-0.0172300594579885,1.63680595216672,0.459134391811909,-0.884777435380313,0.905781335685374,0.0202802388796686,1.25711396769526,1.29270877152268,2.01779715732594,0.535829352904006,1.16226815005628,-0.32183179470982,-0.382431012525547,-0.496051292921627,0.83191283416785,0.18588203792781,-0.4797589253201,-0.0675447710491537,-0.00947605714246497,-0.256880673857383,-0.25361893396719,0.339031134208498,0.322346503155537,-0.476859953326705,-0.297256840564744,-0.70252973470909,-0.381645486560402,0.165377321425587,0.0816855691815693,0.640924204914875,0.892034197206292,0.482799048822124
"19823",0.705959167402279,0.138470096488387,0.477081801760185,1.47196763625244,-0.500411290632945,-0.567284899854346,1.11478586735267,-0.443538285615721,2.52808743584382,0.774698995946734,0.325306184618475,2.95993287103753,-1.06168809237558,0.522516172477024,-0.841926696930658,0.58401710894304,-0.18582485842118,0.32728712525924,1.24568528563257,-0.0436289940204264,0.198756732023565,0.208385381666568,0.96735419026841,1.04721587389591,0.206191827051264,-0.347703563248689,0.565595796473911,0.127338812619226,-0.859188372597309,-0.618121477014712,-0.262487239354048,-0.875875303703777,1.88849820053334,1.45235743155396,0.360404742215453,0.439655921074787,0.0179865691453674,-0.0821232111996777,0.68692606381849,0.41303232947254,0.819063059029143,0.315236022642194,1.47936484458236,0.988113270893306,-0.0305394484186417,1.12763960423845,-0.873612877153013,0.879454667061568,1.04603492798486,1.67826927719718,0.705441238762576,0.57832469258636,0.444938720666597,-0.359504220079873,-0.434067262573867,0.883937113656011,0.282113967578155,-0.468557091155037,0.00265748555920823,-0.0892576704207238,-0.227337005252619,0.320850567528973,0.0813466195109207,-0.12584782617763,0.616235057941894,0.164314809264642,0.729643152189661,0.420225691750446,0.0432409933895138,-0.110924032927227,0.509597667583473,1.07880040444364,0.437636554074822
"17069",0.777655374902822,-0.133639086882764,-1.02605877764912,0.216056853302269,-0.670181664576861,-1.24719965621782,-0.619858111682934,-1.69208992632815,2.15813792287281,0.473465420647278,-0.885960285729268,1.63731168109094,-1.4205682313856,0.278909468429401,-1.42369430111713,0.000116495430701444,-0.670978314292002,0.00845216571870443,0.494219800000467,-0.931593238086878,0.0308373409595515,-0.0706956780414929,0.036927877259745,0.346887163247113,-0.0101332260303938,-0.77102949050013,0.0890748833572682,-0.511926346237133,-1.03167281721585,-0.913263490282615,-1.2187753066444,-1.63591593311985,1.88624749049812,1.27761044589517,-0.145989560061631,-0.244228078660927,-0.212405918881033,-0.368666940758863,-0.0612748111756081,-0.360663089864655,0.299516392583491,-0.0139144226657724,0.590079595200855,0.446161125132267,0.717380480641359,1.09207230262867,-0.799319069409645,1.90868395848174,1.35511815067432,2.07529553319206,1.44604569077529,1.32689401471757,0.291773723966919,-0.427765802835729,-0.570502362267265,0.784639155443746,0.246640846692431,-0.604908688308668,-0.00114775416976383,-0.222566133887929,-0.345653443684844,-0.355793853445652,-0.213923992266483,0.524715791613592,-0.500989969531727,0.0538356039274339,-0.156652606853479,-0.258483794458888,0.47979615178167,0.054806917226925,0.796896772434417,0.921787602939439,0.507020393939613
"17563",-0.79382757377362,-0.437101484410499,0.66676735219205,0.324580823888646,-1.12914998127658,-1.66719467733643,-0.711487064237357,-1.57195220335075,1.1376581720277,-0.249900980314161,-1.28331632694407,2.23901878647853,-1.14123747397258,-0.293546185070397,-0.88302491392974,0.331044180721217,-0.511337092266381,-0.37725714659161,0.529458014381047,-0.488191923947256,0.0599131556201014,-0.441666150696298,0.173584515288088,0.53303675695217,-0.360954958266565,-0.986976749632699,0.252636844908056,-0.327785605171066,-1.39328238369011,-1.26198028742869,0.123450530700898,-1.3955118786061,1.59932663455318,0.69019292159669,-0.102940843026064,0.150565006500972,-0.327092935071187,-0.7216289609128,0.230807836271871,-0.0922566811741761,0.613229037499214,-0.363645752756068,0.915072687680284,0.58042223776298,-0.475654079042331,0.588470253511326,-1.1813363496852,0.5860011633083,1.3622455713407,2.41573030775037,1.10184398954015,1.14017169166947,-0.412908634420136,-0.369952822427022,-0.510455958356174,0.732552074134339,0.0909441229486455,-0.684617710579523,-0.0705520741692927,-0.18364174323905,-0.28599674276426,-0.820907905020397,0.661260787739007,-0.319614558686173,0.0510899005887776,-0.233279360597396,-0.0840358366691492,0.495600624732093,0.485113219049759,0.112172341487834,1.00612319493711,0.790313470481611,0.488317751094979
"25082",-0.637665630146982,0.0209792430865602,2.10203545966232,0.986642983081137,-1.0657020452301,-1.21232646721417,0.990358682795739,-0.552302665086177,1.56927871540622,0.422176203895714,-1.51229169233522,2.47818015716748,-1.2866207857792,0.126849521861657,-0.892611159052017,0.349288265188681,-0.990454120268382,-0.00517227032992378,0.626869342375211,-0.581719342339997,-0.237935386940972,-0.1530645849666,0.317026293831054,0.404329363303252,-0.333940835600497,-0.778884828755474,0.318160312524281,-0.0994601331707033,-1.66863574210551,-1.08482320037335,-1.0891252647127,-1.3374743755228,1.16688271780947,0.967567906028715,0.0792185812952773,0.149578464438837,-0.477733619184478,-0.478163053295397,0.182111077402703,0.155801216451335,0.434639086326892,-0.174751856358932,0.997905627421677,0.923015714583221,1.27158932027645,1.12201050722938,-3.2615053984424,-2.52068537186264,1.84222325858743,2.39971414705455,1.23976772180771,1.15205153370734,-0.210238816259172,-0.749633540247432,-0.682165913994136,0.582532334603191,-0.0804849041069117,-0.756738328636385,-0.270083294547506,-0.382950165729096,-0.561403169573346,-0.525473856625204,0.54475458310205,0.160004039546842,0.328648321426096,-0.0821702724294918,0.284048339328146,0.749082635548455,-0.0245315475743521,-0.358974662960729,0.106476040521019,0.941392790397383,0.39826615039703
"11907",0.286585370050662,-0.357555244529996,0.520847906954377,1.02758220595187,-1.73720845886629,-1.30969305953925,0.410121392292772,-0.630149083043065,1.46650568529858,0.0861834937346525,-0.637300107404345,1.33851427922731,-1.43683656004627,0.313794529341874,-0.685407318064601,0.72908920796797,-0.997955378419344,-0.0594688694188436,0.753893634414238,0.0179840913745672,-0.19916741072589,-0.166651664512663,0.380919068383147,0.991781147395841,-0.665831207187464,-0.661464805697908,0.416097239106461,0.464974148261153,-2.16598495197312,-0.934792763514513,-0.00356334061357258,-0.550201503935823,1.31734236243665,0.863238626049831,0.204158184953713,0.709397495164081,-0.557956701133422,-0.397855314631725,0.201629565106853,0.609472277077002,0.261573430781122,-0.165861545109054,0.919823131239053,1.34919491412334,0.913178452984461,0.76339610639422,-1.34924255159603,-0.45318939002718,1.63025018282668,2.15409791212433,1.0374966603361,0.37460917408589,-0.049113620608082,-0.406088526689904,-0.556158016226151,0.808531719766655,0.0036968415047483,-0.645772318658263,-0.122471331148271,-0.17678118103634,-0.344308122019035,0.21490283677786,-0.250329722315633,0.223524812295604,0.172519352111025,-0.106817560028697,0.41016540622392,0.525508584778459,0.402858960454889,0.251298427164965,1.09628220793149,0.97973872335154,0.410440984333307
"765",0.878742403551084,-0.453547942063719,-1.31737912898915,0.0375566171854488,-1.33555620647943,-1.23342590318125,-0.760689094606477,-1.12077078863269,1.95655901506279,0.231489638558607,-0.928490316829653,1.63860300980683,-0.93474878652136,0.478526829248496,-1.36624165105983,0.1624721248076,-0.0999896531643408,0.351795475225534,0.372447410288972,-0.451799274975508,0.230231175561382,0.0915096085055691,0.299078355163657,0.715684080339018,0.0855652272209736,-0.241492987431111,-0.233810147288967,-0.233719480149265,-1.18599649310325,-0.638476765879848,-1.49800883464599,-1.31617021059901,1.29057629950766,1.18130529020412,-0.387021146166059,-0.0330589877183006,-0.010981287351578,-0.0114416499644403,-0.0950298121760014,0.0590090612370226,0.763884045054766,0.225163714972033,0.796194702431797,0.639709631594449,0.408972199142917,1.32183291314741,-1.65292845575981,-0.220001655910779,1.46699915974377,2.10460532153814,1.97656579284685,1.46577553412775,0.651959244248321,-0.857362041731406,-0.917839754922779,0.434686732963654,-0.242343604357895,-1.00498618553409,-0.461251867148053,-0.417357715114966,-0.652107251776507,-0.621776213811657,0.373666932517638,-0.453805602930442,0.421350588369511,-0.0126115561504622,-0.387612416919337,0.405182381539922,0.152445922243302,-0.0326364807191031,0.869416400774682,0.801382873208939,0.469171586837111
"13136",0.163815359205542,-0.00247712514200217,-0.620373910882625,0.319045448405106,-1.16310798541659,-0.754041715641304,-0.304844764299074,-1.00091246609304,2.14375293334533,1.22992419593401,-0.0128578038882861,3.31768090429243,-1.13731089228171,0.328596884921811,-1.31785135742639,0.0843354111860536,-0.665756869034474,0.0623053178805976,0.404263312938594,-0.939228275074204,-0.180635729793258,-0.189999594826161,0.225598148580057,-0.0560084746656462,-0.449572543443535,-0.674167949786664,0.222125706659041,-0.693470689823128,-1.42223856963991,-0.98560206401349,-0.656861882869539,-1.92614039314714,1.87368433224503,0.96661902896539,0.00314770977386707,-0.147478995860306,-0.311530574267851,-0.398478568084278,0.11219720204338,-0.233389096900612,0.675951335595814,-0.000904872857994747,0.778241577264416,0.438445383932492,0.653177232060535,0.935383070619488,-1.25177603365741,-0.192725415474136,1.13550901502901,1.81828126222649,0.928932172350495,1.12617688541413,0.343067218798418,-0.296885544647541,-0.28855773848802,1.09211936113014,0.428608559486958,-0.282047287854956,0.203307308099016,0.226892610402382,0.00564319381559593,-0.689288329367122,1.14982480033266,0.178082552329558,-0.392592868168831,-0.78267466319845,-0.335031235135869,0.0731203057368603,0.0933873239268444,0.0152582743430509,0.831361829123346,0.802306970801087,0.630019753403079
