"","cremother","cremcrem","cremliom","otherother","othercrem","otherliom","liomother","liomcrem","liomliom"
"68",0.0799028199297164,0.707482346214534,0.237591978517527,0.125452403528365,0.331878168764453,0.331878168764453,0.0306292167131391,0.0805095291890568,0.888861254097804
"69",0.0806602957789225,0.705553808821986,0.238999822490826,0.126199964776496,0.329819069579126,0.329819069579126,0.0307554136667843,0.0798637684230178,0.889380817910198
"70",0.0814234432621151,0.703617486683654,0.240411552494859,0.126949390935022,0.327766059451724,0.327766059451724,0.0308819451787988,0.0792227116610858,0.889895343160115
"71",0.0821922809702989,0.701673416107398,0.2418271194422,0.127700668324996,0.325719199061772,0.325719199061772,0.0310088123229432,0.0785863319017172,0.89040485577534
"72",0.082966827186891,0.699721634394391,0.243246473463544,0.128453783250603,0.32367854823637,0.32367854823637,0.0311360161789811,0.077954602183315,0.890909381637704
"73",0.0837470998823028,0.697762179841728,0.244669563908829,0.129208722001469,0.3216441659454,0.3216441659454,0.0312635578326475,0.0773274955862615,0.891408946581091
"74",0.0845331167085423,0.695795091744808,0.246096339348558,0.129965470854946,0.319616110296972,0.319616110296972,0.0313914383756162,0.076704985234913,0.891903576389471
"75",0.0853248949938369,0.693820410399507,0.247526747575332,0.130724016078388,0.317594438533107,0.317594438533107,0.0315196589054687,0.0760870442995568,0.892393296794975
"76",0.0861224517372794,0.691838177104106,0.248960735605589,0.131484343931408,0.315579207025659,0.315579207025659,0.0316482205256614,0.0754736459983285,0.89287813347601
"77",0.0869258036034991,0.689848434161009,0.250398249681561,0.132246440668121,0.313570471272475,0.313570471272475,0.0317771243454946,0.0748647635990935,0.893358112055412
"78",0.0877349669173609,0.687851224878215,0.25183923527344,0.133010292539366,0.311568285893788,0.311568285893788,0.0319063714800807,0.0742603704212896,0.89383325809863
"79",0.0885499576586935,0.685846593570558,0.25328363708176,0.133775885794906,0.309572704628851,0.309572704628851,0.0320359630503121,0.0736604398377332,0.894303597111955
"80",0.0893707914570496,0.683834585560715,0.254731399039998,0.134543206685624,0.307583780332803,0.307583780332803,0.0321659001828305,0.0730649452763888,0.894769154540781
"81",0.0901974835864994,0.681815247179957,0.256182464317395,0.13531224146568,0.305601564973769,0.305601564973769,0.032296184009995,0.0724738602221025,0.895229955767903
"82",0.0910300489604613,0.67978862576867,0.257636775321993,0.136082976394664,0.303626109630194,0.303626109630194,0.0324268156698513,0.0718871582182981,0.895686026111851
"83",0.0918685021265698,0.677754769676617,0.259094273703898,0.136855397739717,0.301657464488411,0.301657464488411,0.0325577963061001,0.0713048128686395,0.89613739082526
"84",0.0927128572615847,0.675713728262956,0.260554900358764,0.13762949177764,0.299695678840433,0.299695678840433,0.0326891270680665,0.0707267978386561,0.896584075093277
"85",0.0935631281663421,0.673665551895998,0.2620185954315,0.138405244796976,0.297740801081986,0.297740801081986,0.0328208091106688,0.0701530868573342,0.897026104031997
"86",0.0944193282607518,0.671610291952715,0.263485298320209,0.13918264310007,0.295792878710759,0.295792878710759,0.0329528435943878,0.0695836537186734,0.897463502686939
"87",0.0952814705788403,0.669548000817986,0.264954947680346,0.139961673005107,0.293851958324885,0.293851958324885,0.0330852316852365,0.0690184722832087,0.897896296031555
"88",0.0961495677638441,0.667478731883576,0.266427481429109,0.14074232084813,0.291918085621648,0.291918085621648,0.033217974554729,0.0684575164794988,0.898324508965772
"89",0.0970236320633548,0.665402539546861,0.267902836750053,0.141524572985028,0.289991305396416,0.289991305396416,0.0333510733798506,0.0679007603055809,0.898748166314568
"90",0.0979036753245173,0.663319479209278,0.269380950097944,0.142308415793507,0.288071661541785,0.288071661541785,0.0334845293430272,0.0673481778303923,0.89916729282658
"91",0.098789708989285,0.661229607274512,0.270861757203831,0.143093835675027,0.286159197046959,0.286159197046959,0.0336183436320955,0.0667997431951584,0.899581913172746
