"","vacother","vacvac","otherother","othervac"
"76",0.0114113561211274,0.988588643878873,0.0164094947268658,0.983590505273134
"77",0.0117944676255846,0.988205532374415,0.0169575295353217,0.983042470464678
"78",0.0121902826640001,0.987809717336,0.0175235412098034,0.982476458790197
"79",0.0125992116536066,0.987400788346393,0.018108097322952,0.981891902677048
"80",0.0130216775338634,0.986978322466137,0.018711781868958,0.981288218131042
"81",0.0134581160979596,0.98654188390204,0.0193351956361865,0.980664804363814
"82",0.0139089763295263,0.986091023670474,0.019978956580908,0.980021043419092
"83",0.0143747207443607,0.985625279255639,0.0206437002014999,0.9793562997985
"84",0.0148558257369365,0.985144174263064,0.0213300799124228,0.978669920087577
"85",0.015352781931446,0.984647218068554,0.0220387674172211,0.977961232582779
"86",0.0158660945370833,0.984133905462917,0.0227704530797293,0.977229546920271
"87",0.0163962837072497,0.98360371629275,0.0235258462926047,0.976474153707395
"88",0.016943884902319,0.983056115097681,0.0243056758422325,0.975694324157768
"89",0.0175094492555649,0.982490550744435,0.0251106902689786,0.974889309731021
"90",0.0180935439418112,0.981906456058189,0.0259416582216896,0.97405834177831
"91",0.018696752548317,0.981303247451683,0.0267993688052537,0.973200631194746
"92",0.0193196754473674,0.980680324552633,0.0276846319199595,0.972315368080041
"93",0.0199629301699849,0.980037069830015,0.0285982785912936,0.971401721408706
"94",0.0206271517801269,0.979372848219873,0.0295411612887315,0.970458838711269
"95",0.0213129932486768,0.978687006751323,0.0305141542319784,0.969485845768022
"96",0.0220211258264773,0.977978874173523,0.0315181536830156,0.968481846316985
"97",0.022752239415592,0.977247760584408,0.0325540782222078,0.967445921777792
"98",0.0235070429379136,0.976492957062086,0.033622869006617,0.966377130993383
"99",0.0242862647001706,0.975713735299829,0.0347254900085593,0.965274509991441
"100",0.0250906527543068,0.974909347245693,0.0358629282323265,0.964137071767673
"101",0.0259209752521357,0.974079024747864,0.0370361939068776,0.962963806093122
"102",0.0267780207930871,0.973221979206913,0.0382463206521844,0.961753679347816
"103",0.0276625987637819,0.972337401236218,0.0394943656167933,0.960505634383207
"104",0.0285755396680814,0.971424460331919,0.040781409584038,0.959218590415962
"105",0.0295176954461661,0.970482304553834,0.0421085570442135,0.957891442955786
"106",0.0304899397811031,0.969510060218897,0.0434769362298887,0.956523063770111
"107",0.0314931683912609,0.968506831608739,0.0448876991114082,0.955112300888592
"108",0.0325282993068291,0.967471700693171,0.0463420213494996,0.953657978650501
"109",0.0335962731285915,0.966403726871409,0.047841102201775,0.952158897798225
"110",0.0346980532669912,0.965301946733009,0.0493861643797825,0.950613835620218
"111",0.0358346261594135,0.964165373840587,0.0509784538531358,0.949021546146864
"112",0.0370070014634934,0.962992998536507,0.0526192395971248,0.947380760402875
"113",0.0382162122241356,0.961783787775865,0.0543098132800854,0.945690186719915
"114",0.0394633150118116,0.960536684988188,0.0560514888866898,0.94394851111331
"115",0.0407493900295731,0.959250609970427,0.0578456022732052,0.942154397726795
"116",0.0420755411860926,0.957924458813907,0.0596935106506632,0.940306489349337
"117",0.043442896131915,0.956557103868085,0.061596591991785,0.938403408008215
"118",0.0448526062559706,0.955147393744029,0.0635562443574181,0.936443755642582
"119",0.0463058466392725,0.953694153360728,0.0655738851381675,0.934426114861832
"120",0.0478038159625869,0.952196184037413,0.0676509502068367,0.932349049793163
"121",0.0493477363647379,0.950652263635262,0.0697888929772496,0.93021110702275
"122",0.0509388532480766,0.949061146751923,0.0719891833649912,0.928010816635009
"123",0.0525784350275207,0.947421564972479,0.0742533066455922,0.925746693354408
"124",0.0542677728194466,0.945732227180553,0.0765827622056946,0.923417237794305
"125",0.0560081800665969,0.943991819933403,0.0789790621827634,0.921020937817237
"126",0.0578009920950544,0.942199007904946,0.0814437299889727,0.918556270011027
"127",0.0596475655992281,0.940352434400772,0.0839782987149774,0.916021701285023
"128",0.0615492780506966,0.938450721949303,0.0865843094093998,0.9134156905906
"129",0.0635075270266704,0.93649247297333,0.089263309230015,0.910736690769985
"130",0.065523729453752,0.934476270546248,0.0920168494627985,0.907983150537202
"131",0.0675993207626171,0.932400679237383,0.0948464834052335,0.905153516594766
"132",0.0697357539491837,0.930264246050816,0.097753764110536,0.902246235889464
"133",0.0719344985378099,0.92806550146219,0.100740241989769,0.899259758010231
"134",0.0741970394420467,0.925802960557953,0.103807462269178,0.896192537730822
"135",0.0765248757184779,0.923475124281522,0.106956962300471,0.893043037699529
"136",0.0789195192092179,0.921080480790782,0.110190268722261,0.889809731277739
"137",0.0813824930686874,0.918617506931312,0.113508894471338,0.886491105528662
"138",0.0839153301703789,0.916084669829621,0.116914335643073,0.883085664356927
"139",0.0865195713894398,0.91348042861056,0.120408068200833,0.879591931799167
"140",0.0891967637570469,0.910803236242953,0.123991544534977,0.876008455465023
"141",0.091948458482739,0.908051541517261,0.127666189872759,0.872333810127241
"142",0.0947762088410904,0.90522379115891,0.131433398541245,0.868566601458755
"143",0.0976815679193831,0.902318432080617,0.135294530086224,0.864705469913776
"144",0.100666086223238,0.899333913776762,0.13925090525101,0.86074909474899
"145",0.103731309137526,0.896268690862474,0.143303801819999,0.856696198180001
"146",0.10687877424028,0.89312122575972,0.147454450332901,0.852545549667099
"147",0.110110008467796,0.889889991532204,0.151704029676633,0.848295970323367
"148",0.113426525129603,0.886573474870397,0.156053662562996,0.843946337437004
"149",0.116829820772567,0.883170179227433,0.160504410901477,0.839495589098523
"150",0.120321371894002,0.879678628105998,0.16505727107769,0.83494272892231
"151",0.12390263150434,0.87609736849566,0.169713169149275,0.830286830850725
"152",0.127575025540666,0.872424974459334,0.17447295597233,0.825527044027671
"153",0.131339949133206,0.868660050866794,0.179337402272786,0.820662597727214
"154",0.135198762727728,0.864801237272272,0.184307193678436,0.815692806321564
"155",0.139152788067715,0.860847211932285,0.189382925728638,0.810617074271362
"156",0.143203304041183,0.856796695958817,0.194565098880058,0.805434901119942
"157",0.147351542397995,0.852648457602005,0.199854113528076,0.800145886471924
"158",0.151598683344656,0.848401316655344,0.205250265064722,0.794749734935278
"159",0.155945851024699,0.844054148975302,0.210753738995249,0.789246261004751
"160",0.160394108893917,0.839605891106083,0.216364606136551,0.783635393863449
"161",0.164944455000998,0.835055544999002,0.222082817921716,0.777917182078284
"162",0.169597817185281,0.830402182814719,0.227908201835944,0.772091798164056
"163",0.174355048204736,0.825644951795264,0.233840457009956,0.766159542990044
"164",0.179216920808501,0.820783079191499,0.239879149997697,0.760120850002303
"165",0.184184122769673,0.815815877230327,0.246023710765744,0.753976289234256
"166",0.189257251895351,0.810742748104649,0.252273428922257,0.747726571077743
"167",0.194436811032246,0.805563188967754,0.258627450213532,0.741372549786468
"168",0.19972320308745,0.80027679691255,0.265084773316297,0.734915226683703
"169",0.20511672608523,0.79488327391477,0.271644246953723,0.728355753046277
"170",0.210617568281882,0.789382431718118,0.278304567362751,0.721695432637249
"171",0.21622580336186,0.78377419663814,0.285064276139769,0.714935723860231
"172",0.221941385739427,0.778058614260573,0.291921758490787,0.708078241509213
"173",0.227764145991049,0.772235854008951,0.298875241911221,0.701124758088779
"174",0.233693786444624,0.766306213555376,0.305922795319044,0.694077204680956
"175",0.23972987695234,0.760270123047661,0.313062328663459,0.68693767133654
"176",0.245871850874565,0.754128149125435,0.32029159302945,0.67970840697055
"177",0.252119001302593,0.747880998697407,0.327608181256429,0.672391818743571
"178",0.258470477548302,0.741529522451698,0.335009529086898,0.664990470913102
"179",0.264925281928863,0.735074718071137,0.342492916858458,0.657507083141542
"180",0.271482266874487,0.728517733125513,0.350055471749715,0.649944528250285
"181",0.278140132386816,0.721859867613184,0.357694170587643,0.642305829412357
"182",0.284897423875008,0.715102576124992,0.365405843220789,0.634594156779211
"183",0.291752530395697,0.708247469604303,0.373187176459348,0.626812823540652
"184",0.298703683321954,0.701296316678046,0.381034718579708,0.618965281420292
"185",0.305748955465053,0.694251044534947,0.388944884387434,0.611055115612566
"186",0.312886260671244,0.687113739328756,0.396913960829053,0.603086039170947
"187",0.320113353913917,0.679886646086083,0.404938113139302,0.595061886860698
"188",0.327427831899453,0.672572168100547,0.413013391506768,0.586986608493232
"189",0.334827134202723,0.665172865797277,0.421135738237262,0.578864261762738
"190",0.342308544945641,0.657691455054359,0.429300995390595,0.570699004609405
"191",0.349869195029396,0.650130804970604,0.437504912863009,0.562495087136991
"192",0.357506064927985,0.642493935072015,0.445743156884141,0.554256843115859
"193",0.365215988047519,0.634784011952481,0.454011318894268,0.545988681105732
"194",0.372995654652428,0.627004345347572,0.462304924764635,0.537695075235365
"195",0.380841616356221,0.619158383643779,0.47061944432102,0.52938055567898
"196",0.388750291170886,0.611249708829114,0.478950301128268,0.521049698871732
