"","vacvac","vacliom","vacother","othervac","otherliom","otherother","liomvac","liomliom","liomother"
"4",0.989974423086786,0.00899455626355439,0.00103102064965943,0.990427101750826,0.00808207847589516,0.00149081977327872,0.967555524883741,0.0315762722341073,0.000868202882151736
"5",0.989669745944007,0.00926453408678204,0.00106571996921113,0.990134219662429,0.00832476798844585,0.00154101234912481,0.966601206933153,0.0325019796863907,0.000896813380456276
"6",0.989355897097581,0.00954252611373916,0.00110157678868016,0.989832452353996,0.00857466728682808,0.00159288035917553,0.965619805413178,0.033453854771073,0.000926339815749238
"7",0.989032606191395,0.00982876475999019,0.00113862904861485,0.989521535444624,0.0088319857691019,0.00164647878627452,0.96461061073682,0.0344325794487254,0.000956809814454294
"8",0.988699595265671,0.0101234888447905,0.00117691588953868,0.989201197024146,0.00909693861980125,0.00170186435605322,0.963572898249234,0.0354388500210778,0.000988251729687772
"9",0.988356578566194,0.0104269437467475,0.00121647768705852,0.988871157460338,0.00936974695152215,0.00175909558813987,0.962505928123304,0.0364733772230887,0.00102069465360711
"10",0.98800326235024,0.0107393815619479,0.00125735608781224,0.988531129202585,0.00965063794880921,0.00181823284860552,0.961408945269682,0.0375368863008095,0.00105416842950835
"11",0.987639344689238,0.0110610612644998,0.00129959404626264,0.988180816582044,0.00993984501429693,0.00187933840365856,0.960281179262462,0.0386301170739056,0.00108870366363226
"12",0.987264515268228,0.0113922488694282,0.0013432358623437,0.987819915608348,0.0102376079170544,0.00194247647459744,0.959121844281715,0.039753823981649,0.00112433173663607
"13",0.986878455182182,0.0117332175978535,0.00138832721996423,0.987448113762896,0.0105441729430744,0.00200771329403005,0.957930139074173,0.0409087761111416,0.00116108481468528
"14",0.986480836729252,0.0120842480443755,0.00143491522637252,0.987065089788795,0.0108597930478384,0.00207511716336627,0.956705246933402,0.0420957572064804,0.0011989958601175
"15",0.986071323201043,0.0124456283465726,0.00148304845238459,0.986670513477529,0.0111847280108825,0.00214475851158857,0.955446335700855,0.0433155656575181,0.00123809864162736
"16",0.985649568670007,0.0128176543565158,0.00153277697347676,0.986264045452421,0.0115192445922759,0.00221670995530316,0.954152557789256,0.0445690144668252,0.00127842774391885
"17",0.985215217774071,0.0132006298141869,0.00158415241174221,0.985845336949011,0.0118636166909164,0.00229104636007231,0.952823050229828,0.0458569311934029,0.00132001857676862
"18",0.984767905498615,0.0135948665226757,0.00163722797870906,0.985414029592439,0.0122181255045354,0.00236784490302582,0.951456934744914,0.0471801578716451,0.0013629073834409
"19",0.984307256955962,0.0140006845250215,0.00169205851901594,0.984969755171961,0.0125830596912923,0.00244718513674695,0.950053317847612,0.0485395509039967,0.00140713124839154
"20",0.983832887162515,0.0144184122825461,0.00174870055493879,0.984512135412747,0.0129587155328281,0.00252914905442548,0.948611290970101,0.0499359809257031,0.00145272810419588
"21",0.983344400813724,0.014848386854515,0.0018072123317607,0.984040781745101,0.0133453970986321,0.00261382115626725,0.947129930622371,0.0513703326399969,0.00149973673763209
"22",0.98284139205708,0.0152909540789458,0.00186765386397419,0.983555295071289,0.0137434164115647,0.00270128851714636,0.945608298583134,0.0528435046220174,0.00154819679484838
"23",0.982323444263331,0.0157464687543665,0.0019300869823027,0.983055265530157,0.0141530936143611,0.00279164085548246,0.944045442124745,0.054356409089716,0.00159814878553954
"24",0.981790129796164,0.0162152948223105,0.00199457538152559,0.982540272259748,0.0145747571369301,0.00288497060332198,0.942440394273995,0.0559099716399503,0.00164963408605526
"25",0.981241009780596,0.0166978055503164,0.00206118466908802,0.982009883158162,0.0150087438642402,0.00298137297759761,0.940792174110706,0.0575051309479349,0.00170269494135936
"26",0.980675633870346,0.0171943837151799,0.00212998241447376,0.981463654642892,0.0154553993045718,0.00308094605253627,0.939099787106072,0.0591428384281715,0.00175737446575611
"27",0.980093540014496,0.0177054217861883,0.00220103819931615,0.980901131408924,0.0159150777578951,0.0031837908331808,0.937362225502751,0.0608240578549519,0.00181371664229709
"28",0.979494254223738,0.0182313221080433,0.00227442366821839,0.980321846185901,0.0163881424841133,0.0032900113299856,0.935578468738729,0.0625497649404926,0.00187176632077849
"29",0.978877290336591,0.0187724970831582,0.00235021258025098,0.979725319494667,0.0168749658708914,0.00339971463444107,0.933747483917027,0.064320946868736,0.00193156921423654
