"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","ant_t","ant_t1","logsize_t","logsize_t1","flower1_YN","occ_t","occ_t1"
"35","T1","SJ20",0,2004,25,22,22,2,0,0,0,0,"vacant",2005,0,0,1,21,19,14,0,0,0,NA,0,"vacant","",NA,NA,"","",0,0,3167.77259236971,1496.77254989469,"vacant","vacant",8.06078396764623,7.31106643559789,FALSE,"vac","vac"
"36","T1","SJ3",0,2004,38,30,30,6,0,0,0,3,"C",2005,0,0,1,34,35,27,4,0,0,NA,2,"crem","",NA,NA,"","",3,2,8953.53906273091,8554.03319694941,"crem","crem",9.0998041591121,9.05415816964785,FALSE,"occ","occ"
"37","T1","SJ4",0,2004,46,42,42,3,0,0,0,15,"C",2005,0,0,1,61,33,24,7,0,0,NA,13,"crem","",NA,NA,"","",15,13,21243.4495235742,12971.4397171314,"crem","crem",9.96380386911723,9.47050527478392,FALSE,"occ","occ"
"38","T1","SJ5",0,2004,23,10,10,2,0,0,0,0,"vacant",2005,0,0,1,30,14,9,3,0,0,NA,6,"crem","",NA,NA,"","",0,6,602.138591938044,1038.68907109313,"vacant","crem",6.40048763797864,6.94571468846196,FALSE,"vac","occ"
"39","T1","SJ7",0,2004,30,23,23,2,0,0,0,3,"L",2005,0,0,1,33,24,22,3,0,0,NA,0,"vacant","",NA,NA,"","",3,0,4154.7562843725,4570.23191280975,"liom","vacant",8.33200904958185,8.42731922938618,FALSE,"occ","vac"
"40","T1","SJ9",0,2004,12,7,7,2,0,0,0,0,"vacant",2005,0,0,1,9,5,4,2,0,0,NA,0,"vacant","",NA,NA,"","",0,0,153.9380400259,47.712938426395,"vacant","vacant",5.03655018396003,3.86520260695017,FALSE,"vac","vac"
"41","T2","AD1",0,2004,110,90,90,16,25,26,1,6,"L",2005,0,0,1,124,88,73,16,20,20,0,38,"liom","",NA,NA,"","",6,38,233263.254529042,210369.159865394,"liom","liom",12.3599229425143,12.2566191705155,TRUE,"occ","occ"
"42","T2","AD11",0,2004,76,50,50,7,1,1,0,0,"vacant",2005,0,0,1,80,57,41,4,1,1,0,0,"vacant","",NA,NA,"","",0,0,49741.8836818384,50286.4264084606,"vacant","vacant",10.814602587204,10.8254904669565,TRUE,"vac","vac"
"43","T2","AD12",0,2004,146,123,123,10,18,18,0,0,"vacant",2005,0,0,1,151,119,69,5,15,17,2,27,"crem","",NA,NA,"","",0,27,578271.388949946,349302.167979586,"vacant","crem",13.2677985685146,12.7636926374163,TRUE,"vac","occ"
"44","T2","AD14",0,2004,97,118,118,24,11,18,7,0,"vacant",2005,0,0,1,100,105,53,16,11,23,12,9,"liom","",NA,NA,"","",0,9,353593.58354439,163388.997925449,"vacant","liom",12.7759034634961,12.0038891269835,TRUE,"vac","occ"
"45","T2","AD15",0,2004,120,87,87,11,16,16,0,0,"vacant",2005,0,0,1,137,81,78,8,9,9,0,44,"liom","",NA,NA,"","",0,44,237787.147950211,226685.348561048,"vacant","liom",12.3791312161526,12.3313182052101,TRUE,"vac","occ"
"46","T2","AD16",0,2004,80,72,72,24,12,12,0,0,"vacant",2005,0,0,1,84,77,40,7,2,2,0,5,"liom","",NA,NA,"","",0,5,108573.442108063,75259.2082112337,"vacant","liom",11.5951821087674,11.2286935433803,TRUE,"vac","occ"
"47","T2","AD17",0,2004,92,67,67,14,13,13,0,10,"L",2005,0,0,1,94,64,32,8,0,0,NA,12,"liom","",NA,NA,"","",10,12,108120.005568395,56699.4642119886,"liom","liom",11.5909970518924,10.9455200401472,FALSE,"occ","occ"
"48","T2","AD18",0,2004,124,61,61,21,19,19,0,0,"vacant",2005,0,0,1,128,95,70,21,22,23,1,18,"liom","",NA,NA,"","",0,18,120795.284728079,228079.626650619,"vacant","liom",11.7018525300131,12.3374500866623,TRUE,"vac","occ"
"49","T2","AD19",0,2004,122,48,48,3,22,26,4,0,"vacant",2005,0,0,1,126,47,36,3,5,5,0,12,"liom","",NA,NA,"","",0,12,73588.6663176873,56811.3834502727,"vacant","liom",11.2062463026104,10.9474919974862,TRUE,"vac","occ"
"50","T2","AD22",0,2004,82,80,80,4,10,12,2,0,"vacant",2005,0,0,1,82,72,65,6,4,4,0,26,"liom","",NA,NA,"","",0,26,137392.318716994,100731.110546846,"vacant","liom",11.8305957526734,11.520209973862,TRUE,"vac","occ"
"51","T2","AD23",0,2004,170,122,122,11,28,29,1,11,"L",2005,0,0,1,145,137,98,14,9,9,0,16,"liom","",NA,NA,"","",11,16,662425.754960432,524097.830681291,"liom","liom",13.4036637625782,13.1694336456504,TRUE,"occ","occ"
"52","T2","AD24",0,2004,140,79,79,7,10,10,0,33,"L",2005,0,0,1,153,93,54,11,7,7,0,27,"liom","",NA,NA,"","",33,27,228744.597095629,216388.778638907,"liom","liom",12.3403613636047,12.2848319698914,TRUE,"occ","occ"
"53","T2","AD28",0,2004,90,57,57,8,1,1,0,4,"C",2005,0,0,1,117,60,53,9,15,17,2,50,"crem","",NA,NA,"","",4,50,76552.7589863493,97780.3041971147,"crem","crem",11.2457354420608,11.4904784471639,TRUE,"occ","occ"
"54","T2","AD29",0,2004,99,77,77,7,11,11,0,0,"vacant",2005,0,0,1,95,90,47,12,3,4,1,9,"liom","",NA,NA,"","",0,9,153668.648455855,116700.676853053,"vacant","liom",11.9425539299034,11.6673676181983,TRUE,"vac","occ"
"55","T2","AD3",0,2004,113,55,55,4,12,12,0,32,"L",2005,0,0,1,116,49,42,3,1,1,0,16,"liom","",NA,NA,"","",32,16,89489.5757344442,62870.8611805779,"liom","liom",11.4018774252387,11.0488380790816,TRUE,"occ","occ"
"56","T2","AD30",0,2004,114,70,70,18,10,11,1,0,"vacant",2005,0,0,1,124,72,42,8,12,13,1,21,"liom","",NA,NA,"","",0,21,146241.138024605,105472.69015897,"vacant","liom",11.8930121685546,11.5662073373355,TRUE,"vac","occ"
"57","T2","AD4",0,2004,717,112,112,25,8,18,10,0,"vacant",2005,0,0,1,171,99,69,24,16,25,9,23,"crem","",NA,NA,"","",0,23,2354636.26023616,315880.858133146,"vacant","crem",14.6718968192512,12.6631203902507,TRUE,"vac","occ"
"58","T2","AD6",0,2004,66,93,93,10,13,13,0,50,"L",2005,0,0,1,78,58,54,12,4,6,2,38,"liom","",NA,NA,"","",50,38,149443.99173494,64038.2246507743,"liom","liom",11.9146769643943,11.0672354442213,TRUE,"occ","occ"
"59","T2","AD7",0,2004,170,85,85,10,10,11,1,11,"L",2005,0,0,1,173,93,55,27,8,11,3,18,"liom","",NA,NA,"","",11,18,321555.098064305,248015.126432749,"liom","liom",12.6809241860923,12.4212450169675,TRUE,"occ","occ"
"60","T2","AD9",0,2004,85,64,64,3,13,13,0,0,"vacant",2005,0,0,1,86,73,36,5,4,4,0,13,"liom","",NA,NA,"","",0,13,91148.0748561519,66874.4283184964,"vacant","liom",11.4202406592711,11.1105719356533,TRUE,"vac","occ"
"61","T2","LJ10",0,2004,67,49,49,2,0,0,0,0,"vacant",2005,0,0,1,72,36,21,1,0,0,NA,0,"vacant","",NA,NA,"","",0,0,42114.8821170858,15310.5517972699,"vacant","vacant",10.6481564516736,9.63629752962667,FALSE,"vac","vac"
"62","T2","LJ11",0,2004,57,19,19,3,0,0,0,19,"C",2005,0,0,1,70,32,18,2,0,0,NA,2,"liom","",NA,NA,"","",19,2,5387.0460027431,11453.7232162128,"crem","liom",8.59175246222883,9.34607012784716,FALSE,"occ","occ"
"63","T2","LJ12",0,2004,57,63,63,8,0,0,0,0,"vacant",2005,0,0,1,68,48,28,3,0,0,NA,4,"lg unk","",NA,NA,"","",0,4,59227.660899965,25706.6054867741,"vacant","other",10.989143956679,10.1545032606903,FALSE,"vac","occ"
"64","T2","LJ14",0,2004,62,48,48,8,0,0,0,0,"vacant",2005,0,0,1,57,59,33,8,0,0,NA,1,"liom","",NA,NA,"","",0,1,37397.5189483329,31576.147761231,"vacant","liom",10.5293596429223,10.3601572968741,FALSE,"vac","occ"
"65","T2","LJ17",0,2004,57,56,56,14,0,0,0,6,"L",2005,0,0,1,74,60,45,11,0,0,NA,27,"crem","",NA,NA,"","",6,27,46797.1641678736,53397.257633984,"liom","crem",10.7535778853662,10.8855146684607,FALSE,"occ","occ"
"66","T2","LJ2",0,2004,52,43,43,9,0,0,0,27,"",2005,0,0,1,60,44,33,5,0,0,NA,53,"liom","",NA,NA,"","",27,53,25171.4875381126,23283.1285539174,NA,"liom",10.13346718603,10.055484280871,FALSE,NA,"occ"
"67","T2","LJ5",0,2004,60,65,65,11,0,0,0,11,"C",2005,0,0,1,75,62,50,13,0,1,1,0,"vacant","",NA,NA,"","",11,0,66366.1448070844,61575.2160103599,"crem","vacant",11.1029423380748,11.028014731068,TRUE,"occ","vac"
"68","T2","LJ6",0,2004,58,64,64,17,0,0,0,0,"vacant",2005,0,0,1,68,70,56,11,7,7,0,0,"vacant","",NA,NA,"","",0,0,62195.1569606683,70657.560371888,"vacant","vacant",11.0380324133272,11.1656003940206,TRUE,"vac","vac"
"69","T2","LJ7",0,2004,124,104,104,9,0,3,3,38,"L",2005,0,0,1,140,87,74,12,7,7,0,18,"liom","",NA,NA,"","",38,18,351121.150126014,237513.567589961,"liom","liom",12.7688865999492,12.3779800275197,TRUE,"occ","occ"
"70","T2","LJ9",0,2004,54,53,53,7,0,0,0,0,"vacant",2005,0,0,1,56,41,22,6,0,0,NA,0,"vacant","",NA,NA,"","",0,0,39711.3019377018,14547.1447824475,"vacant","vacant",10.5893911097299,9.58515001845972,FALSE,"vac","vac"
"71","T2","SJ1",0,2004,38,24,24,5,0,0,0,0,"vacant",2005,0,0,1,30,26,12,1,0,0,NA,0,"vacant","",NA,NA,"","",0,0,5730.26500014778,2835.28736986479,"vacant","vacant",8.65351705648368,7.94989857605644,FALSE,"vac","vac"
"72","T2","SJ10",0,2004,15,12,12,3,0,0,0,0,"vacant",2005,0,0,1,20,14,7,4,0,0,NA,0,"vacant","",NA,NA,"","",0,0,565.486677646163,577.267650097124,"vacant","vacant",6.33768673673961,6.35830602394235,FALSE,"vac","vac"
"73","T2","SJ12",0,2004,17,14,14,1,0,0,0,0,"vacant",2005,0,0,1,35,17,11,2,0,0,NA,0,"vacant","",NA,NA,"","",0,0,872.315560146766,1795.94380030216,"vacant","vacant",6.77115123934813,7.49328595678133,FALSE,"vac","vac"
"74","T2","SJ13",0,2004,23,22,22,5,0,0,0,0,"vacant",2005,0,0,1,24,20,15,1,0,0,NA,0,"vacant","",NA,NA,"","",0,0,2914.35078498013,1924.22550032375,"vacant","vacant",7.97740235870718,7.56227882826828,FALSE,"vac","vac"
"75","T2","SJ14",0,2004,20,10,10,2,0,0,0,0,"vacant",2005,0,0,1,29,13,4,0,0,0,NA,0,"vacant","",NA,NA,"","",0,0,523.598775598299,548.535167286168,"vacant","vacant",6.26072569560348,6.30725139304042,FALSE,"vac","vac"
"76","T2","SJ16",0,2004,27,13,13,2,0,0,0,0,"vacant",2005,0,0,1,30,18,15,4,0,0,NA,0,"vacant","",NA,NA,"","",0,0,1194.59060652752,2138.24649984955,"vacant","vacant",7.0855588169888,7.66774137953662,FALSE,"vac","vac"
"77","T2","SJ17",0,2004,22,13,13,6,0,0,0,0,"vacant",2005,0,0,1,21,15,14,0,0,0,NA,0,"vacant","",NA,NA,"","",0,0,973.370123837238,1155.90974698019,"vacant","vacant",6.88076440434279,7.05264297263788,FALSE,"vac","vac"
"78","T2","SJ2",0,2004,22,19,19,1,0,0,0,0,"vacant",2005,0,0,1,25,18,9,3,0,0,NA,11,"liom","",NA,NA,"","",0,11,2079.21073790084,1192.82346065987,"vacant","liom",7.6397436477526,7.08407843181837,FALSE,"vac","occ"
"79","T2","SJ3",0,2004,13,3,3,2,0,0,0,0,"vacant",2005,0,0,1,16,2,2,0,0,0,NA,0,"vacant","",NA,NA,"","",0,0,30.6305283725005,16.7551608191456,"vacant","vacant",3.42199717085916,2.81870631942107,FALSE,"vac","vac"
"80","T2","SJ9",0,2004,26,17,17,4,0,0,0,2,"C",2005,0,0,1,32,21,13,4,0,0,NA,6,"crem","",NA,NA,"","",2,6,1967.16059992281,2421.12073836653,"crem","crem",7.58434646219531,7.79198582697356,FALSE,"occ","occ"
"81","T3","AD1",0,2004,102,63,63,18,7,7,0,2,"L",2005,0,0,1,114,66,29,6,22,23,1,3,"unk","",NA,NA,"","",2,3,105986.340557832,67338.0750342887,"liom","other",11.5710655021287,11.1174811065371,TRUE,"occ","occ"
"82","T3","AD10",0,2004,94,79,79,24,19,24,5,22,"L",2005,0,0,1,97,89,52,20,4,5,1,12,"liom","",NA,NA,"","",22,12,153585.658049922,126217.215499246,"liom","liom",11.9420137232654,11.7457596342012,TRUE,"occ","occ"
"83","T3","AD12",0,2004,82,124,124,16,6,7,1,0,"vacant",2005,0,0,1,90,69,54,18,16,18,2,7,"liom","",NA,NA,"","",0,7,330085.045717577,89117.1661053,"vacant","liom",12.7071056145357,11.3977072560166,TRUE,"vac","occ"
"84","T3","AD13",0,2004,87,92,92,19,17,18,1,0,"vacant",2005,0,0,1,88,85,49,14,8,8,0,0,"vacant","",NA,NA,"","",0,0,192780.691594884,103419.135761074,"vacant","vacant",12.1693085088141,11.5465452893215,TRUE,"vac","vac"
"85","T3","AD15",0,2004,82,62,62,17,2,2,0,0,"vacant",2005,0,0,1,79,69,48,12,0,0,NA,0,"vacant","",NA,NA,"","",0,0,82521.2614293943,70779.4934367555,"vacant","vacant",11.3208112534158,11.167324597004,FALSE,"vac","vac"
"86","T3","AD17",0,2004,83,100,100,10,30,30,0,0,"vacant",2005,0,0,1,98,98,45,26,1,4,3,1,"liom","",NA,NA,"","",0,1,217293.491873294,131161.624187068,"vacant","liom",12.2890042158342,11.7841856141319,TRUE,"vac","occ"
