"","vacvac","vacother","vaccrem","cremvac","cremother","cremcrem","othervac","otherother","othercrem"
"35",0.977055298413372,0.00286651724425246,0.0200781843423756,0.930883411192287,0.00485774578187431,0.0642588430258384,0.97943295704844,0.00415307111144974,0.0164139718401098
"36",0.976539203057831,0.00296233737097361,0.0204984595711957,0.92944763031907,0.00501503348334098,0.0655373361975891,0.978949818957676,0.00429204734986624,0.0167581336924582
"37",0.976011401921519,0.00306132294133376,0.0209272751371467,0.927983677899117,0.00517724443816934,0.0668390776627135,0.978455074789801,0.00443562052363462,0.0171093046865642
"38",0.975471630807122,0.00316357633806593,0.0213647928548122,0.926491078637233,0.00534452354398802,0.0681643978187788,0.977948442775348,0.00458393946630816,0.017467617758344
"39",0.974919619814291,0.00326920312723119,0.0218111770584775,0.924969352772157,0.0055170194670322,0.0695136277608104,0.977429634474732,0.00473715763566225,0.0178332078896059
"40",0.974355093235718,0.00337831214963013,0.0222665946146515,0.923418016207679,0.00569488471340533,0.0708870990789156,0.976898354639292,0.00489543324548544,0.0182062121152223
"41",0.973777769452507,0.00349101561438418,0.022731214933109,0.921836580653995,0.00587827570018454,0.0722851436458205,0.976354301070781,0.00505892940038428,0.0185867695288351
"42",0.973187360828938,0.00360742919470935,0.0232052099763529,0.920224553779678,0.0060673528262638,0.0737080933940586,0.975797164479382,0.00522781423362167,0.0189750212869959
"43",0.972583573606704,0.00372767212590341,0.0236887542673931,0.918581439374617,0.00626228054282269,0.07515628008256,0.975226628340354,0.00540226104800501,0.0193711106116407
"44",0.971966107798702,0.00385186730556533,0.0241820248957322,0.916906737524312,0.00646322742330219,0.0766300350523862,0.974642368749375,0.00558244845983572,0.0197751827907897
"45",0.971334657082492,0.0039801413960635,0.0246852015214446,0.91519994479587,0.00667036623276247,0.0781296889713679,0.974044054276712,0.00576856054592806,0.0201873851773604
"46",0.970688908693503,0.00411262492926678,0.0251984663772304,0.913460554436109,0.00688387399649051,0.0796555715674006,0.973431345820321,0.00596078699369936,0.0206078671859791
"47",0.970028543318129,0.00424945241354997,0.025722004268321,0.911688056582113,0.00710393206771892,0.0812080113501677,0.972803896458004,0.00615932325432936,0.0210367802876671
"48",0.96935323498681,0.00439076244308186,0.0262560025701079,0.90988193848463,0.00733072619430975,0.08278733532106,0.972161351298745,0.00636437069897992,0.021474278002275
"49",0.968662650967238,0.00453669780940142,0.0268006512233608,0.908041684744673,0.00756444658425024,0.0843938686710768,0.971503347333405,0.00657613677806079,0.0219205158885338
"50",0.96795645165782,0.00468740561528376,0.0273561427268958,0.906166777563703,0.0078052879697999,0.0860279344664966,0.970829513284896,0.00679483518351997,0.022375651531584
"51",0.967234290481555,0.00484303739089408,0.0279226721275506,0.904256697007757,0.00805344967012079,0.087689853322122,0.970139469458029,0.00702068601413043,0.0228398445278406
"52",0.966495813780462,0.00500374921222363,0.0285004370073148,0.902310921285873,0.00830913565221547,0.0893799430619115,0.96943282758922,0.00725391594373698,0.0233132564670433
"53",0.965740660710742,0.00516970182179738,0.0290896374674608,0.900328927043184,0.00857255458998919,0.091098518366827,0.968709190696241,0.00749475839241896,0.02379605091134
"54",0.964968463138847,0.0053410607516387,0.029690476109514,0.898310189669016,0.00884391992124528,0.0928458904097391,0.967968152928245,0.00774345370051556,0.0242883933712398
"55",0.964178845538636,0.00551799644847087,0.0303031580128936,0.896254183620336,0.00912344990241482,0.0946223664772494,0.967209299416278,0.00800024930545117,0.0247904512782711
"56",0.963371424889817,0.00570068440113055,0.030927890709052,0.89416038276088,0.00941136766081392,0.0964282495783062,0.966432206124541,0.00826539992128777,0.0253023939541711
