"","vacvac","vaccrem","vacother","vacliom","cremvac","cremcrem","cremother","cremliom","othervac","othercrem","otherother","otherliom","liomvac","liomcrem","liomother","liomliom"
"28",0.96279272505609,0.00223564206937742,0.0170511762530797,0.0179204566214524,0.927847041304229,0.00383221563421752,0.0551988777938823,0.0131218652676708,0.966635527297216,0.00324407932879155,0.0139610465093008,0.0161593468646915,0.928149852312296,0.00185690424934185,0.00794013188059789,0.0620531115577646
"29",0.961844688367431,0.00230931855214603,0.0174001400760895,0.0184458530043333,0.926259970015371,0.00395563186669632,0.0562876356851717,0.0134967624327605,0.965766206983451,0.00335127554835859,0.0142479858726284,0.0166345315955619,0.926190204254985,0.00191593607038341,0.00809349400368916,0.0638003656709423
"30",0.960872691831658,0.00238536127539364,0.0177557856795094,0.0189861612134387,0.924639667834635,0.0040828639879995,0.0573956372701518,0.0138818309072142,0.964874323579499,0.00346193016167628,0.0145404708560114,0.0171232754028131,0.924180929993095,0.0019767295444315,0.00824933838613397,0.0655930020763396
"31",0.959876162270851,0.00246384248874913,0.018118218792338,0.0195417764480622,0.922985535769003,0.00421402110954742,0.058523124715446,0.0142773184060034,0.963959317713063,0.00357614960494404,0.0148385914073165,0.0176259412746761,0.922121003174313,0.00203933036007835,0.00840768205055042,0.067431984415058
"32",0.958854515085225,0.00254483642094138,0.0184875457144803,0.0201131027793529,0.921296969069073,0.0043492149699019,0.0596703387604288,0.014683477200596,0.96302061812633,0.00369404327467404,0.0151424380669602,0.0181429005320361,0.920009389455487,0.00210378498200548,0.0085685409256704,0.0693182846368373
"33",0.957807154166757,0.00262841932012928,0.018863873257287,0.0207005532558268,0.919573357444843,0.00448855997039664,0.0608375184616034,0.0151005641231566,0.962057641549268,0.00381572359047779,0.0154521019225377,0.018674532937717,0.917845047267791,0.00217014063890796,0.00873192977667486,0.071252882316626
"34",0.956733471821604,0.00271466949416073,0.0192473086801774,0.0213045500040583,0.917814085298776,0.00463217320957407,0.0620249009260795,0.0155288405655708,0.961069792579988,0.00394130605791364,0.0157676745602422,0.0192212268018559,0.915626928637945,0.0022384453094612,0.00889786213354091,0.0732367639190527
"35",0.955632848702052,0.00280366735068825,0.0196379596231937,0.0219255243240664,0.916018531976768,0.00478017451630114,0.0632327210339504,0.0159685724729808,0.96005646357284,0.00407090933129358,0.0160892480129405,0.0197833790829255,0.913353980067265,0.00230874770623298,0.00906635021743827,0.075270922009064
"36",0.954504653748722,0.00289549543706401,0.020035934035336,0.0225639167788776,0.914186072037671,0.00493268648143093,0.0644612111493776,0.0164200303315209,0.959017034534949,0.00420465527633982,0.0164169147047733,0.0203613954839381,0.911025143470302,0.00238109725744216,0.00923740486522105,0.0773563544070349
"37",0.953348244143816,0.00299023847993161,0.0204413400985224,0.0232201772777298,0.912316075542001,0.005089834487871,0.0657106008202041,0.0168834891499236,0.957950873031942,0.00434266903257363,0.0167507673921408,0.0209556905433433,0.908639357174759,0.00245554408646539,0.009411035452071,0.0794940632867046
