"","vacvac","vaccrem","vacliom","cremvac","cremcrem","cremliom","liomvac","liomcrem","liomliom"
"151",0.506028117571798,0.12224326320064,0.371728619227562,0.422004456228508,0.0298082337365232,0.235543596447065,0.266287920330023,0.0310734749874101,0.702638604682567
"152",0.499090603021695,0.123156100198238,0.377753296780067,0.415973814283791,0.030013140993668,0.239220160996576,0.260560747556886,0.0310580081287849,0.708381244314329
"153",0.492149981066211,0.124050996698001,0.383799022235788,0.409963861315421,0.0302146300334148,0.242915306766516,0.254913386042761,0.0310372689416607,0.714049345015578
"154",0.48520894358256,0.124927437704777,0.389863618712663,0.403976326011305,0.0304126224806564,0.246628205481536,0.249346592546392,0.0310113409149808,0.719642066538628
"155",0.478270185740969,0.12578492464695,0.395944889612081,0.398012913306386,0.0306070426355288,0.250358021884719,0.243861033515118,0.0309803106021304,0.725158655882752
"156",0.471336401806627,0.126622976197966,0.402040621995407,0.392075302477695,0.0307978175522224,0.254103914737101,0.238457286640509,0.0309442674032372,0.730598445956254
"157",0.464410280940018,0.127441129057934,0.408148590002048,0.386165145299305,0.0309848771123219,0.257865037820148,0.233135842566002,0.0309033033482532,0.735960854085745
"158",0.457494503009549,0.128238938692676,0.414266558297776,0.380284064261328,0.0311681540925361,0.261640540938653,0.227897106734946,0.030857512881484,0.74124538038357
"159",0.450591734430337,0.129015980027801,0.420392285541862,0.37443365085686,0.0313475842266973,0.265429570921503,0.222741401367405,0.0308069926481955,0.746451605984399
"160",0.443704624042892,0.129771848095566,0.426523527861541,0.368615463940523,0.0315231062619326,0.269231272617818,0.217668967554055,0.0307518412838896,0.751579191162055
"161",0.436835799045191,0.13050615863251,0.432658042322299,0.362831028161919,0.0316946620089285,0.273044789886029,0.212679967455586,0.0306921592068018,0.756627873337612
"162",0.429987860991394,0.131218548626059,0.438793590382547,0.357081832477085,0.0318621963862315,0.276869266573477,0.20777448659614,0.0306280484141314,0.761597464989729
"163",0.42316338187006,0.131908676808568,0.444927941321372,0.35136932874067,0.0320256574585484,0.280703847484224,0.202952536239487,0.0305596122824765,0.766487851478036
