"","beta.1.1","beta.1.2","beta.1.3","beta.1.4"
"819",-0.385421078649749,-0.513141844354886,-0.361986595909233,-0.607424020966781
"820",1.18633473771308,1.03007393076921,1.20597212700476,0.963569034653773
"821",-3.09092377819036,-3.24588358912596,-3.06916165275509,-3.29779025318209
"822",-3.25357303123027,-3.38730365296462,-3.22337595302748,-3.44794733953102
"823",-3.66445423703268,-3.8220835581205,-3.63070192756582,-3.89032705293528
"824",-1.94093365355755,-2.07449351288662,-1.91816273812844,-2.17895950980949
"825",-1.67094970140003,-1.79263879526139,-1.64163051399958,-1.85643411204059
"826",-0.702401724356827,-0.836851101860002,-0.664782795602214,-0.905674632011568
"827",-3.71670828818873,-3.86556865892547,-3.68770932142407,-3.90287803370356
"828",-1.986036036063,-2.12103592478214,-1.95894576687393,-2.20072959078598
"829",2.46035900393631,2.33609964194156,2.50058371413173,2.24551950148617
"830",-0.350973024497439,-0.488254740129583,-0.329344288670992,-0.576384131272061
"831",2.90724578398391,2.76717898861246,2.93058637290277,2.68757465904984
"832",-1.8240106890613,-1.97414195294058,-1.79810242377189,-2.03301529136003
"833",-2.38987060759676,-2.53230039571335,-2.35981789803782,-2.61854734400149
"834",0.144945990795829,0.0181055929903963,0.184727183698961,-0.0745947173212726
"835",-3.79406406575308,-3.94817702252777,-3.77753631454733,-4.00509715491005
"836",-3.71099635483819,-3.8514885886356,-3.68224668359923,-3.95731454911225
"837",0.458484582953715,0.305031912638528,0.489794377572195,0.249636467074505
"838",0.471705801741666,0.321417184741206,0.493126040166307,0.223244198864293
"839",-2.38301328171848,-2.52952889176739,-2.35491667633973,-2.63244582291984
"840",2.25257517527093,2.10244931180892,2.27528173305352,2.02986675800519
"841",3.29066181109549,3.14680139417552,3.30595004591527,3.06668215493612
"842",-1.34881200913076,-1.49199782058435,-1.30877695755602,-1.56347535801385
"843",-0.318411342286187,-0.466037597234281,-0.294499454131644,-0.527465316931306
"844",-1.71700655193378,-1.84540140895582,-1.6800648159237,-1.95321567565009
"845",-0.626240414247209,-0.776377528520715,-0.611724269343717,-0.865596774198652
"846",2.77870920903102,2.63164920387013,2.80814257055759,2.58553504891454
"847",2.79211458320771,2.64335247955884,2.81519739954438,2.56868169110224
"848",-1.58874965941178,-1.72867362159424,-1.56639291667801,-1.80254233436301
"849",4.12101737549126,3.98451908903517,4.15077521933253,3.887015170309
"850",-3.56613685674088,-3.71941817227995,-3.53910921309816,-3.7708317014005
